Geoid,Sec_neigh
170312519002,AUSTIN
170311001005,NORWOOD PARK
170317503002,"MOUNT GREENWOOD,MORGAN PARK"
170318305002,LITTLE VILLAGE
170311911005,"BELMONT CRAGIN,HERMOSA"
170311510011,PORTAGE PARK
170316504005,WEST LAWN
170317403003,"MOUNT GREENWOOD,MORGAN PARK"
170311912001,"BELMONT CRAGIN,HERMOSA"
170311801003,"MONTCLARE, GALEWOOD"
170311504012,PORTAGE PARK
170314804002,"AVALON PARK,CALUMET HEIGHTS"
170311710004,DUNNING
170318316002,"MONTCLARE, GALEWOOD"
170317004014,ASHBURN
170316502002,WEST LAWN
170314804001,"AVALON PARK,CALUMET HEIGHTS"
170316505002,WEST LAWN
170312607002,GARFIELD PARK
170318426004,BACK OF THE YARDS
170310206012,WEST RIDGE
170311512001,PORTAGE PARK
170317302023,"WASHINGTON HEIGHTS,ROSELAND"
170317403004,"MOUNT GREENWOOD,MORGAN PARK"
170312308001,HUMBOLDT PARK
170315501004,SOUTHEAST SIDE
170314409001,"CHATHAM,BURNSIDE"
170315306003,WEST PULLMAN
170316708002,ENGLEWOOD
170310505002,NORTH CENTER
170315203002,SOUTHEAST SIDE
170315203003,SOUTHEAST SIDE
170315203001,SOUTHEAST SIDE
170317301002,"WASHINGTON HEIGHTS,ROSELAND"
170316709002,ENGLEWOOD
170311710001,DUNNING
170317005015,ASHBURN
170315401023,RIVERDALE
170310203011,WEST RIDGE
170317401003,"MOUNT GREENWOOD,MORGAN PARK"
170311906013,"BELMONT CRAGIN,HERMOSA"
170310305002,EDGEWATER
170312606002,GARFIELD PARK
170318397003,BRIDGEPORT
170312507005,AUSTIN
170312522013,AUSTIN
170311104003,JEFFERSON PARK
170310402022,LINCOLN SQUARE
170313812002,BRONZEVILLE
170314910003,"WASHINGTON HEIGHTS,ROSELAND"
170314607001,SOUTH CHICAGO
170314005001,WASHINGTON PARK
170316505001,WEST LAWN
170311105011,JEFFERSON PARK
170317404001,"MOUNT GREENWOOD,MORGAN PARK"
170310818001,RIVER NORTH
170316720001,ENGLEWOOD
170316720003,ENGLEWOOD
170316610004,"MARQUETTE PARK,GAGE PARK"
170312101002,"IRVING PARK,AVONDALE"
170315204004,SOUTHEAST SIDE
170317112002,AUBURN GRESHAM
170317112003,AUBURN GRESHAM
170317111002,AUBURN GRESHAM
170316720002,ENGLEWOOD
170317112001,AUBURN GRESHAM
170317111001,AUBURN GRESHAM
170314208001,WOODLAWN
170317108006,AUBURN GRESHAM
170314602001,SOUTH CHICAGO
170317302015,"WASHINGTON HEIGHTS,ROSELAND"
170312212001,LOGAN SQUARE
170317302011,"WASHINGTON HEIGHTS,ROSELAND"
170314908002,"WASHINGTON HEIGHTS,ROSELAND"
170312504002,AUSTIN
170316006001,BRIDGEPORT
170315204001,SOUTHEAST SIDE
170312520002,AUSTIN
170310402011,LINCOLN SQUARE
170311707001,DUNNING
170312311001,HUMBOLDT PARK
170312427001,HUMBOLDT PARK
170318415001,NORTH LAWNDALE
170312519004,AUSTIN
170312922002,NORTH LAWNDALE
170310302002,EDGEWATER
170318397002,BRIDGEPORT
170312925001,NORTH LAWNDALE
170316116001,BACK OF THE YARDS
170310402014,LINCOLN SQUARE
170311101002,JEFFERSON PARK
170312521023,AUSTIN
170312502002,AUSTIN
170311503002,PORTAGE PARK
170312216001,BUCKTOWN
170312521024,AUSTIN
170314306001,"SOUTH SHORE, GRAND CROSSING"
170311908003,"BELMONT CRAGIN,HERMOSA"
170314309001,"SOUTH SHORE, GRAND CROSSING"
170314309002,"SOUTH SHORE, GRAND CROSSING"
170311507003,PORTAGE PARK
170311703004,DUNNING
170312518005,AUSTIN
170311503006,PORTAGE PARK
170310102022,ROGERS PARK
170311613004,"IRVING PARK,AVONDALE"
170318421002,HUMBOLDT PARK
170311913013,"BELMONT CRAGIN,HERMOSA"
170311907023,"BELMONT CRAGIN,HERMOSA"
170310510001,NORTH CENTER
170312211001,LOGAN SQUARE
170312608002,GARFIELD PARK
170318322001,BUCKTOWN
170313108003,LOWER WEST SIDE
170316201003,"ARCHER HEIGHTS,WEST ELSDON"
170311508003,PORTAGE PARK
170311510023,PORTAGE PARK
170311503004,PORTAGE PARK
170311502005,PORTAGE PARK
170311507001,PORTAGE PARK
170316403005,MIDWAY AIRPORT
170311502003,PORTAGE PARK
170316403002,MIDWAY AIRPORT
170315703002,"ARCHER HEIGHTS,WEST ELSDON"
170315703001,"ARCHER HEIGHTS,WEST ELSDON"
170311507002,PORTAGE PARK
170311511004,PORTAGE PARK
170315611003,MIDWAY AIRPORT
170311903003,"BELMONT CRAGIN,HERMOSA"
170318370002,GARFIELD PARK
170311902004,"BELMONT CRAGIN,HERMOSA"
170311511001,PORTAGE PARK
170312307004,HUMBOLDT PARK
170313018032,LITTLE VILLAGE
170313005002,LITTLE VILLAGE
170311903004,"BELMONT CRAGIN,HERMOSA"
170311902003,"BELMONT CRAGIN,HERMOSA"
170312522021,AUSTIN
170316904004,"SOUTH SHORE, GRAND CROSSING"
170310208012,WEST RIDGE
170311303002,"NORTH PARK,ALBANY PARK"
170316909005,"SOUTH SHORE, GRAND CROSSING"
170311903002,"BELMONT CRAGIN,HERMOSA"
170312209022,LOGAN SQUARE
170312309001,HUMBOLDT PARK
170316501003,WEST LAWN
170313006002,LITTLE VILLAGE
170313016002,LITTLE VILLAGE
170311902002,"BELMONT CRAGIN,HERMOSA"
170316305001,"MARQUETTE PARK,GAGE PARK"
170316608005,"MARQUETTE PARK,GAGE PARK"
170316611001,"MARQUETTE PARK,GAGE PARK"
170316611003,"MARQUETTE PARK,GAGE PARK"
170312909001,NORTH LAWNDALE
170312909002,NORTH LAWNDALE
170316304001,"MARQUETTE PARK,GAGE PARK"
170313016001,LITTLE VILLAGE
170316304004,"MARQUETTE PARK,GAGE PARK"
170316609001,"MARQUETTE PARK,GAGE PARK"
170312912001,NORTH LAWNDALE
170318408002,LITTLE VILLAGE
170312912002,NORTH LAWNDALE
170316304003,"MARQUETTE PARK,GAGE PARK"
170316502003,WEST LAWN
170316203001,"ARCHER HEIGHTS,WEST ELSDON"
170316304002,"MARQUETTE PARK,GAGE PARK"
170316305004,"MARQUETTE PARK,GAGE PARK"
170312312005,HUMBOLDT PARK
170312828001,"LITTLE ITALY, UIC"
170316609002,"MARQUETTE PARK,GAGE PARK"
170316305002,"MARQUETTE PARK,GAGE PARK"
170311504021,PORTAGE PARK
170316606005,"MARQUETTE PARK,GAGE PARK"
170311506001,PORTAGE PARK
170318322002,BUCKTOWN
170318351002,"MARQUETTE PARK,GAGE PARK"
170314908004,"WASHINGTON HEIGHTS,ROSELAND"
170311504022,PORTAGE PARK
170314908005,"WASHINGTON HEIGHTS,ROSELAND"
170316305003,"MARQUETTE PARK,GAGE PARK"
170314308002,"SOUTH SHORE, GRAND CROSSING"
170318408001,LITTLE VILLAGE
170311703003,DUNNING
170313009002,LITTLE VILLAGE
170311506002,PORTAGE PARK
170312309002,HUMBOLDT PARK
170316204004,"ARCHER HEIGHTS,WEST ELSDON"
170316308001,"MARQUETTE PARK,GAGE PARK"
170314306002,"SOUTH SHORE, GRAND CROSSING"
170316308002,"MARQUETTE PARK,GAGE PARK"
170312521021,AUSTIN
170314308001,"SOUTH SHORE, GRAND CROSSING"
170316308003,"MARQUETTE PARK,GAGE PARK"
170318316005,"MONTCLARE, GALEWOOD"
170312518004,AUSTIN
170316706002,ENGLEWOOD
170314407002,"CHATHAM,BURNSIDE"
170318387002,NORTH LAWNDALE
170316603011,"MARQUETTE PARK,GAGE PARK"
170312516001,AUSTIN
170310209011,WEST RIDGE
170316707002,ENGLEWOOD
170315302003,WEST PULLMAN
170312211002,LOGAN SQUARE
170311906023,"BELMONT CRAGIN,HERMOSA"
170314407001,"CHATHAM,BURNSIDE"
170316715001,ENGLEWOOD
170317110003,AUBURN GRESHAM
170318348001,ENGLEWOOD
170317110001,AUBURN GRESHAM
170316605001,"MARQUETTE PARK,GAGE PARK"
170314605002,SOUTH CHICAGO
170314604003,SOUTH CHICAGO
170312521022,AUSTIN
170316703001,ENGLEWOOD
170310623001,LAKE VIEW
170311507004,PORTAGE PARK
170316605002,"MARQUETTE PARK,GAGE PARK"
170314603011,SOUTH CHICAGO
170316811005,ENGLEWOOD
170314604004,SOUTH CHICAGO
170318307004,UPTOWN
170318349001,ENGLEWOOD
