Survey,State,6-Digit,County,Place,MSA/,PMSA,Ccity,Zip,Region,Division,Source,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units
Date,Code,ID,Code,Code,Cmsa,Code,Code,Code,Code,,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200001,05,061000,009,    ,9999,9999, ,72601      ,3,7,1,,Boone County Unincorporated Area,7,7,555000,0,0,0,0,0,0,0,0,0
200001,05,062000,083,0245,9999,9999, ,72927      ,3,7,1,,Booneville,1,1,12000,0,0,0,0,0,0,0,0,0
200001,05,069000,125,0280,4400,9999, ,72022      ,3,7,1,,Bryant,3,3,341000,0,0,0,0,0,0,0,0,0
200001,05,073000,085,0300,4400,9999, ,72023      ,3,7,1,,Cabot,26,26,2308275,0,0,0,0,0,0,0,0,0
200001,05,080000,103,0315,9999,9999, ,71701      ,3,7,1,,Camden,1,1,130000,0,0,0,0,0,0,0,0,0
200001,05,086000,039,0340,9999,9999, ,71725      ,3,7,5,,Carthage,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,095000,047,0380,9999,9999, ,72933      ,3,7,5,,Charleston,1,1,46398,0,0,0,0,0,0,0,0,0
200001,05,102000,071,0405,9999,9999, ,72830      ,3,7,1,,Clarksville,3,3,175000,0,0,0,0,0,0,0,0,0
200001,05,112000,045,0440,4400,9999,1,72032      ,3,7,1,,Conway,29,29,3445700,0,0,0,0,0,0,0,0,0
200001,05,115000,021,0445,9999,9999, ,72422      ,3,7,5,,Corning,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,117000,147,0455,9999,9999, ,72036      ,3,7,5,,Cotton Plant,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,123000,035,    ,4920,9999, ,72364      ,3,7,1,,Crittenden County Unincorporated Area,1,1,3200,0,0,0,0,0,0,0,0,0
200001,05,148000,115,0575,9999,9999, ,72837      ,3,7,5,,Dover,1,1,53565,0,0,0,0,0,0,0,0,0
200001,05,153000,035,0600,4920,9999, ,72331      ,3,7,1,,Earle,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,155000,035,0605,4920,9999, ,72332      ,3,7,1,,Edmondson town,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,157000,139,0615,9999,9999, ,71730      ,3,7,5,,El Dorado,1,1,89051,0,0,0,0,0,0,0,0,0
200001,05,166000,017,0645,9999,9999, ,71640      ,3,7,1,,Eudora,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,171000,143,0665,2580,9999, ,72730      ,3,7,1,,Farmington,2,2,154413,4,8,466140,0,0,0,0,0,0
200001,05,173000,143,0670,2580,9999,1,72701      ,3,7,1,,Fayetteville,36,36,4980186,1,2,175240,0,0,0,1,10,459680
200001,05,180000,123,0695,9999,9999, ,72335      ,3,7,1,,Forrest City,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,181000,131,0700,2720,9999,1,72902      ,3,7,1,,Fort Smith,15,15,2104045,4,8,525700,0,0,0,0,0,0
200001,05,205000,093,0797,9999,9999, ,72315      ,3,7,5,,Gosnell,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,212000,045,0825,4400,9999, ,72058      ,3,7,1,,Greenbrier,6,6,476700,0,0,0,0,0,0,0,0,0
200001,05,215000,021,0840,9999,9999, ,72430      ,3,7,5,,Greenway town,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,216000,131,0845,2720,9999, ,72936      ,3,7,1,,Greenwood,2,2,195000,0,0,0,0,0,0,0,0,0
200001,05,230000,009,0905,9999,9999, ,72601      ,3,7,1,,Harrison,3,3,355000,0,0,0,0,0,0,0,0,0
200001,05,238000,023,0940,9999,9999, ,72543      ,3,7,1,,Heber Springs,2,2,269000,2,4,136000,0,0,0,0,0,0
200001,05,249000,057,0975,9999,9999, ,71801      ,3,7,5,,Hope,1,1,58622,0,0,0,0,0,0,0,0,0
200001,05,254000,035,0984,4920,9999, ,72348      ,3,7,5,,Horseshoe Lake town,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,256000,051,0985,9999,9999, ,719020700  ,3,7,5,,Hot Springs,7,7,790828,0,0,0,0,0,0,0,0,0
200001,05,259000,075,1000,9999,9999, ,72433      ,3,7,1,,Hoxie,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,273000,119,1045,4400,9999,1,72076      ,3,7,1,,Jacksonville,4,4,310000,0,0,0,0,0,0,0,0,0
200001,05,279000,143,1063,2580,9999, ,72741      ,3,7,1,,Johnson,4,4,384120,0,0,0,0,0,0,0,0,0
200001,05,282000,031,1070,3700,9999,1,72401      ,3,7,1,,Jonesboro,10,10,1843645,1,2,80384,0,0,0,0,0,0
200001,05,315000,119,1195,4400,9999,1,72201      ,3,7,1,,Little Rock,40,40,7967244,0,0,0,0,0,0,0,0,0
200001,05,316000,133,1200,9999,9999, ,71846      ,3,7,5,,Lockesburg town,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,319000,085,1210,4400,9999, ,72086      ,3,7,1,,Lonoke,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,323000,007,1225,2580,9999, ,72745      ,3,7,1,,Lowell,9,9,991867,0,0,0,0,0,0,0,0,0
200001,05,338000,035,1315,4920,9999, ,72364      ,3,7,1,,Marion,4,4,323000,0,0,0,0,0,0,0,0,0
200001,05,340000,111,1320,9999,9999, ,72365      ,3,7,1,,Marked Tree,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,341000,055,1325,9999,9999, ,72443      ,3,7,1,,Marmaduke,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,344000,119,1337,4400,9999, ,72118      ,3,7,1,,Maumelle,24,24,3258600,0,0,0,0,0,0,0,0,0
200001,05,345000,045,1340,4400,9999, ,72106      ,3,7,5,,Mayflower,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,354000,065,1350,9999,9999, ,72556      ,3,7,1,,Melbourne,3,3,180000,0,0,0,0,0,0,0,0,0
200001,05,355000,113,1355,9999,9999, ,71953      ,3,7,1,,Mena,3,3,210000,0,0,0,0,0,0,0,0,0
200001,05,359000,061,1365,9999,9999, ,71851      ,3,7,5,,Mineral Springs,1,1,50000,0,0,0,0,0,0,0,0,0
200001,05,366000,043,1380,9999,9999, ,71655      ,3,7,1,,Monticello,1,1,170000,0,0,0,0,0,0,0,0,0
200001,05,375000,005,1405,9999,9999, ,72653      ,3,7,1,,Mountain Home,1,1,500000,0,0,0,0,0,0,0,0,0
200001,05,381000,061,1435,9999,9999, ,71852      ,3,7,1,,Nashville,4,4,225000,0,0,0,0,0,0,0,0,0
200001,05,384000,067,1445,9999,9999, ,72112      ,3,7,5,,Newport,1,1,63988,0,0,0,0,0,0,0,0,0
200001,05,390000,119,1475,4400,9999,1,72119      ,3,7,1,,North Little Rock,4,4,565000,0,0,0,0,0,0,0,0,0
200001,05,402000,093,1530,9999,9999, ,72370      ,3,7,1,,Osceola,1,1,70000,0,0,0,0,0,0,0,0,0
200001,05,407000,123,1550,9999,9999, ,72372      ,3,7,1,,Palestine,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,409000,055,1560,9999,9999, ,72450      ,3,7,5,,Paragould,11,11,753839,1,2,71000,0,0,0,1,6,135000
200001,05,421000,105,1605,9999,9999, ,72126      ,3,7,1,,Perryville,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,423000,021,1610,9999,9999, ,72454      ,3,7,1,,Piggott,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,426000,069,1615,6240,9999,1,71601      ,3,7,1,,Pine Bluff,2,2,49450,1,2,80000,0,0,0,0,0,0
200001,05,442000,143,1675,2580,9999, ,72753      ,3,7,1,,Prairie Grove,1,1,85000,0,0,0,2,8,190000,0,0,0
200001,05,455000,021,1720,9999,9999, ,72461      ,3,7,1,,Rector,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,462000,007,1745,2580,9999,1,72756      ,3,7,1,,Rogers,26,26,2933378,0,0,0,0,0,0,0,0,0
200001,05,468000,115,1770,9999,9999, ,72801      ,3,7,1,,Russellville,8,8,881000,1,2,45000,0,0,0,0,0,0
200001,05,474000,145,1805,9999,9999, ,721435202  ,3,7,1,,Searcy,3,3,225000,1,2,60000,0,0,0,0,0,0
200001,05,483000,119,1825,4400,9999, ,72124      ,3,7,1,,Sherwood,7,7,674000,0,0,0,0,0,0,0,0,0
200001,05,486000,007,1845,2580,9999, ,72761      ,3,7,1,,Siloam Springs,2,2,225000,0,0,0,0,0,0,0,0,0
200001,05,492000,143,1875,2580,9999,1,72764      ,3,7,1,,Springdale,27,27,2402810,0,0,0,0,0,0,0,0,0
200001,05,509000,035,1933,4920,9999, ,72364      ,3,7,1,,Sunset town,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,512000,091,1945,8360,9999,1,75501      ,3,7,1,,Texarkana AR,9,9,644860,0,0,0,0,0,0,0,0,0
200001,05,515000,043,1955,9999,9999, ,71670      ,3,7,1,,Tillar,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,520000,111,1970,9999,9999, ,72472      ,3,7,4,,Trumann,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,524000,035,1985,4920,9999, ,72384      ,3,7,5,,Turrell,0,0,0,0,0,0,0,0,0,0,0,0
200001,05,529000,033,2005,2720,9999, ,729565745  ,3,7,5,,Van Buren,10,10,921899,0,0,0,0,0,0,0,0,0
200001,05,533000,045,2015,4400,9999, ,72173      ,3,7,1,,Vilonia town,4,4,400000,0,0,0,0,0,0,0,0,0
200001,05,539000,075,2050,9999,9999, ,72476      ,3,7,5,,Walnut Ridge,1,1,87028,0,0,0,0,0,0,0,0,0
