Survey,State,6-Digit,County,Place,MSA/,PMSA,Ccity,Zip,Region,Division,Source,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units
Date,Code,ID,Code,Code,Cmsa,Code,Code,Code,Code,,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200001,17,180400,031,1305,1602,1600, ,60445      ,2,3,1,,Crestwood village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,181000,197,1310,1602,1600, ,60417      ,2,3,5,,Crete village,2,2,321597,0,0,0,0,0,0,0,0,0
200001,17,183100,193,1320,9999,9999, ,62827      ,2,3,1,,Crossville village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,184000,111,1325,1602,1600, ,60014      ,2,3,1,,Crystal Lake,11,11,1674566,0,0,0,0,0,0,0,0,0
200001,17,187600,177,1360,9999,9999, ,61018      ,2,3,1,,Dakota village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,189400,139,1370,9999,9999, ,61925      ,2,3,1,,Dalton City village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,192700,043,1397,1602,1600, ,60559      ,2,3,1,,Darien,5,5,160000,0,0,0,0,0,0,0,0,0
200001,17,194200,167,1405,7880,9999, ,62520      ,2,3,1,,Dawson village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,196600,039,    ,9999,9999, ,617270439  ,2,3,1,,De Witt County Unincorporated Area,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,194800,037,1435,1602,1600,1,60115      ,2,3,5,,DeKalb,7,7,757566,0,0,0,0,0,0,1,9,357362
200001,17,197500,037,    ,1602,1600, ,60178      ,2,3,1,,DeKalb County Unincorporated Area,4,4,880000,0,0,0,0,0,0,0,0,0
200001,17,197800,115,1410,2040,9999,1,62523      ,2,3,1,,Decatur,4,4,427800,1,2,161000,0,0,0,0,0,0
200001,17,200200,097,1430,1602,1600, ,600473042  ,2,3,5,,Deer Park village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,201400,097,1420,1602,1600, ,60015      ,2,3,1,,Deerfield village,2,2,840000,0,0,0,0,0,0,0,0,0
200001,17,204400,031,1460,1602,1600, ,60016      ,2,3,1,,Des Plaines,6,6,1187845,0,0,0,0,0,0,0,0,0
200001,17,205300,063,1480,1602,1600, ,60416      ,2,3,5,,Diamond village,1,1,125000,0,0,0,0,0,0,0,0,0
200001,17,208000,031,1495,1602,1600, ,60426      ,2,3,1,,Dixmoor village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,209500,031,1505,1602,1600, ,60419      ,2,3,5,,Dolton village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,211600,117,1525,9999,9999, ,62020      ,2,3,5,,Dorchester village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,214600,043,1540,1602,1600, ,60515      ,2,3,1,,Downers Grove village,1,1,170000,0,0,0,0,0,0,0,0,0
200001,17,217900,043,    ,1602,1600, ,60187      ,2,3,1,,DuPage County Unincorporated Area,11,11,2102,0,0,0,0,0,0,0,0,0
200001,17,220000,163,1565,7040,9999, ,62239      ,2,3,5,,Dupo village,1,1,104282,0,0,0,0,0,0,0,0,0
200001,17,223900,119,1595,7040,9999, ,62024      ,2,3,1,,East Alton village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,224500,063,1600,1602,1600, ,60474      ,2,3,5,,East Brooklyn village,0,0,0,0,0,0,0,0,0,0,0,0
