2001-11,149840,140396,55535,154984,157714,84566,61154,,83792,69798,78295,155150,269604,67690,42747,,127368,228113,183450,142075,36580,65552,48375,114740,105043,188508,107727,122697,61155,134812,266893,87422,53696,57557,157531,97651,72886,81578,84998,137431,56187,,80346,64120,47252,170698,88261,389653,47651,79803,97228,111607,,63154,146554,70246,135135,236725,28014,278889,126445,92249,55127,177020,85305,46777,157072,167250,75732,101818,95082,103875,50934,92639,40015,159827,140423,101499,51403,129307,97122,65956,73324,75271,48905,129390,,78480,,168072,95703,94716,,139055,54959,109814,244416,54515,59374,67620,59383,72879,48260,96458,311941,45801,329642,43112,71151,52875,72743,76660,99826,,,52892,79133,123608,82735,86743,54504,97011,53751,113772,80834,185869,117421,73208,110768,178224,73899,74118,81800,126690,87735,124525,,49868,97321,154150,95399,400239,68858,111703,59894,,,239743,,112989,70829,63468,343173,114565,381289,115811,113453,,86305,71070,146411,67182,43695,82953,146373,70848,77583,141235,39728,48008,157686,,158746,,64973,43456,,76549,69731,45411,67221,38654,52762,103531,37295,,,,145723,,70857,34017,,51813,,,49244,99100,90018,81551,75153,,63669,257463,74710,42237,64077,69674,140720,90959,78331,76187,,83352,115882,44822,66991,82372,34851,92946,44365,85890,,353283,,45623,96029,82952,76456,140289,129464,79359,54573,39403,,105896,,,28441,77336,99869,109311,65048,,62259,41773,,68433,,,45867,82949,,153010,,,27828,157050,103035,,,49179,,56776,108909,,,,,131425,93804,152455,,40851,52581,192796,,59995,,69728,74452,76209,,,74686,53687,132718,81414,,82292,,42307,,,,42842,,63573,51844,124882,118029,46149,87821,,91429,,103887,59587,78082,,,,41889,,32205,,105014,163823,32759,,61401,26927,54129,62791,74380,107041,46541,,,67826,56214,,88649,55289,,,,,,55417,,115560,102585,,,72981,85329,,39038,69920,141162,,111538,49662,,81151,99539,,84676,60070,150322,,81016,,122392,,,262844,109990,,151598,105874,60610,138727,,157485,
2001-12,151749,141366,55289,157768,159943,85853,60768,,85418,70541,78373,155617,268033,68310,42337,,128776,228453,185568,144324,36926,65805,48681,116548,106673,187376,107982,122711,61963,136430,269195,88605,54910,57588,157998,97285,74350,82554,86295,139613,55258,,80801,64396,47327,173310,90224,385720,47821,80133,99539,112586,,63582,148336,70554,135862,238764,28101,279224,126593,92130,55562,179155,85375,46413,158536,168534,75770,102528,95644,103897,51318,92467,40273,163351,141312,102154,51898,130831,97384,65691,73733,76412,49235,129128,,79310,,167212,96683,94992,,141721,55134,110450,243958,54517,59288,68173,59014,74283,48380,97504,319253,45953,329576,43132,71746,53099,73957,78486,100231,,,53380,79005,124598,83782,87628,55136,97029,53641,114965,81557,185558,118520,72929,112091,180421,74601,73463,81129,127511,88412,126594,,49800,98271,155020,95158,400331,69350,112375,60330,,,242897,,112881,71411,63735,343303,116184,380153,117446,116281,,86650,70466,146867,67374,43942,83603,147642,72735,78427,143026,39390,48327,161619,,159723,,63719,43535,,76730,69453,45226,66717,38131,52939,103940,37325,,,,147215,,71470,34057,,52164,,,49411,100213,91354,82307,74940,,63919,257481,74760,42645,63959,70159,143746,90247,78149,76151,,83709,116621,45277,67726,83113,35054,92740,45013,85897,,353940,,45852,97611,83258,77233,143381,131378,82177,54856,39949,,106954,,,29039,77553,101310,109339,65619,,62230,42524,,68361,,,47354,83003,,154560,,,28085,158095,104055,,,49585,,57466,107933,,,,,134200,94910,154421,,41040,52346,193502,,60407,,70448,74388,77208,,,74506,53888,134780,81582,,83112,,42642,,,,43337,,63652,51879,124908,118656,46645,89356,,91410,,104055,59892,78477,,,,42103,,32107,,104816,164261,33158,,61869,27419,54644,63119,74391,108546,45613,,,68357,55812,,88645,55055,,,,,,55635,,116184,103086,,,72768,86760,,39343,70678,142310,,111080,48788,,81824,100667,,85894,61179,151266,,82517,,122700,,,267118,109208,,153909,105895,60853,138149,,158183,
2002-01,154064,142519,55216,160549,162137,87194,60481,,86888,71266,78493,155881,267008,68494,42252,,130578,229249,187148,146686,37260,66071,48924,118310,107897,187072,108093,122419,62355,137504,271461,89284,55795,57668,158539,97817,75765,83390,86870,141844,55881,,81208,64696,47908,176093,92709,384165,48061,80746,101469,113295,,64139,150329,70639,136723,240603,27997,278668,125842,91717,55839,181535,85491,46042,159694,170675,75716,103124,95838,103831,51722,92997,40759,167462,141822,102891,52326,132473,97546,65579,74069,77566,49559,129009,,80210,63020,166027,97598,94717,,143901,55505,111304,243337,54468,59142,68566,58916,75300,48946,98284,327136,46335,324234,43279,72692,53142,74906,79737,100414,,,53401,79339,125342,84370,88843,54817,97132,53784,115835,82153,184898,119326,71738,112910,182646,75456,73090,81348,126993,89389,128873,,50106,98970,155893,94715,400253,70040,113281,60961,,,246445,,112607,71557,63295,342667,116843,379039,118408,118196,,86944,71726,147185,67858,44147,83696,148604,75780,79090,145033,39018,48545,165085,,161569,,63336,43786,54753,77159,69067,45485,65768,37782,53802,104711,37352,,,,148106,,72258,34136,,52691,98080,,49526,101164,92971,83002,75423,117080,63638,257528,74641,43022,63375,70558,143911,90362,77957,76248,,84048,117309,46103,67937,83763,35181,92664,45891,86044,,354271,,46313,99147,83789,77749,147290,132743,84606,55059,40801,,107679,,,29262,77275,102020,109584,66371,,61909,43077,,68658,,,49037,83035,,155388,,,28239,159690,105778,,,49766,,57904,107556,,,,,135018,96327,155387,,41216,52041,194533,,60647,,71384,74292,78678,,,74573,53969,137273,82094,,83537,,42767,,,,43880,,63537,51625,124965,118264,47041,90520,,91717,,103784,60226,78791,,,,42110,,31887,,105351,164508,33233,,62643,27793,55087,63491,74577,108927,44800,60081,,68503,55194,,88689,54889,,,,,,55947,,117897,104351,,,72665,87828,,39496,70713,144061,,111221,48350,,82195,101985,,86320,61780,153057,,82798,,123429,,,270962,108363,,154193,104991,61283,137420,,159889,
2002-02,156475,143562,54972,163410,164307,88593,60195,,88190,71956,78888,156203,266623,67816,42177,,133082,230111,188520,149201,37601,65959,49067,119397,109239,188554,108155,122251,62543,138389,273573,89963,56773,58163,159021,97698,76206,83971,87575,143780,56621,,81695,65412,48815,179115,94782,384816,48344,81654,103094,113535,,64537,152366,70590,137665,242405,28026,277736,124620,92263,56415,183868,85942,45892,161206,173885,76046,104013,96253,103723,51928,95392,41012,172178,142263,103696,52751,134583,97921,65616,74449,78861,49470,128524,,80787,63622,165125,99002,94491,,145504,56073,111937,241791,54488,58877,68974,59381,75593,49620,98414,335257,47038,317645,42502,73904,53203,75805,79998,101136,,,53512,80082,126157,84964,90150,53575,97545,53991,116369,82274,184832,120859,71075,113670,184689,75993,72939,82138,126158,90660,130613,,50453,99526,156803,95181,400898,70703,114543,61475,,,249857,,113692,71984,62487,342115,117060,381571,119369,119962,,88194,75643,147463,68024,44050,83124,149024,78399,79096,147067,38481,48566,168207,,163413,,63783,44226,56726,77594,69369,46021,66425,37765,54769,105419,37465,,,,148711,,72971,34437,,53363,98663,,49662,102077,93877,84258,76275,116836,63356,257690,75655,43086,62829,71039,144628,90937,78129,76521,,84819,117824,47279,67505,84588,35514,93174,46702,86363,,356921,,47305,100541,84301,77786,148310,133961,87259,55428,41409,,108362,,,29368,76914,102068,109752,66955,,61651,43249,,68655,,,49932,83329,,156116,,,28369,161864,107189,,,49791,,58363,107597,,,,,133832,98310,155981,,41567,51612,194713,,61042,,72274,73882,80910,,,74787,54168,138665,82916,,84043,,42970,,,,44302,,63594,51505,125835,117194,47418,91393,,91947,,103300,60237,79030,,,,42278,,31705,,105528,164662,33534,,63336,28228,55661,63696,74758,108362,43915,60373,,68662,54534,,88676,55065,,,,,,56706,,119170,105370,,,72427,88300,,39516,70869,144821,,111341,48277,,82722,103276,,86683,61804,155538,,82901,,124070,,,274164,109218,,153255,104287,61955,137168,,161915,
2002-03,158875,144578,54956,166364,166475,90023,59581,,89291,72467,79534,156817,266864,66534,42077,,135963,230854,189754,151935,38041,65801,49093,120337,110660,190970,108344,122062,62744,139735,275162,90958,57636,58498,158710,96875,76599,84771,88833,145771,56506,,81787,65837,49648,181065,96363,385987,48617,82708,104758,113614,,64550,154292,70627,138384,244327,28249,277620,123629,93547,56866,185862,86399,46320,163228,177225,76166,105851,96565,103886,51854,98159,41016,176890,142588,104272,53170,136436,98488,65494,74975,80558,49142,127768,,81115,63454,164306,101458,94775,,147300,56338,112624,241299,54610,58675,69081,60007,75884,49997,98782,339544,47645,313022,41503,74842,53307,77003,80175,101961,,,53746,80529,127232,85703,91612,52404,97731,53807,117453,82219,185818,123041,72476,114739,186729,76305,72731,83722,126134,91925,131733,,50896,100054,157200,96327,402223,71135,115937,61675,,,252032,,116723,72741,61977,341133,117049,387158,120306,121479,,89174,80712,147146,68462,44068,82940,149375,79801,78952,148502,38188,48226,171618,,164640,,64264,44392,58479,78108,70585,46579,68744,37925,54555,105964,37808,,,,150402,,73116,34769,,54059,99529,,49986,102802,93929,85867,76614,115110,63087,257542,77475,43068,62397,71554,145345,91411,78118,76705,,85859,118013,48244,67522,85080,35894,93662,47377,86610,,360526,,48608,102488,84715,77832,148253,136075,89769,55854,41612,,109176,,,29558,76952,102563,110200,67447,,61637,43373,,68826,,,50281,84209,,158305,,,28293,164530,108333,,,50128,,58469,108546,,,,,133469,100116,157222,,42027,51176,194554,,61537,,72925,73140,82145,,,74974,54711,138519,83271,,84572,,43613,,,,44535,,64151,52150,126200,116958,47902,92558,,91926,,103162,59956,78541,,,,42554,,31592,,105014,164555,34168,,63764,28753,56217,63520,74777,108153,43308,61244,,69209,54197,,88598,55372,,,,,,57343,,120548,105975,,,72455,88803,,39912,71154,147658,,111616,48343,,82856,104447,,87340,61611,157069,,84227,,124927,,,278505,109997,,152467,104292,62502,137497,,163635,
2002-04,161443,145682,55401,169494,168623,91594,58564,,90320,72874,80333,157447,267729,65110,42106,,138097,232374,190835,154673,38538,65813,49172,121556,112037,192836,108475,121956,62984,140220,275966,91917,58341,58289,157611,96042,76710,85850,89970,147695,56180,,81934,65732,50208,181869,97884,387862,48855,84168,106310,113054,,64388,155763,70736,139017,246056,28527,277359,123325,94510,57191,187435,86647,47332,165563,180192,75718,108100,97755,104159,51882,99686,41032,180975,142798,104537,53859,138306,99173,65526,75603,82384,48786,127866,,81476,62450,164167,104183,95603,,149471,56411,113359,243245,54831,58781,69258,60250,75937,50202,99678,342621,48127,310179,40685,75242,53336,78314,80967,102978,,,53744,80915,128200,86396,92980,52004,97267,53388,120059,82202,187501,124631,74675,115829,189088,76623,72451,85145,126805,93177,133407,,51522,100880,157433,97033,401574,71415,116759,61668,,,253657,,118764,73205,61735,339847,117428,391335,120975,123057,,89378,84237,147257,69649,44454,83289,149865,80273,79590,149670,38273,47693,175003,,165384,,64156,44323,60083,78484,71172,47207,71586,38171,53767,106221,38165,,,,153681,,73124,34787,,54523,101145,,50473,103132,94151,87118,76669,113153,62093,257153,78389,43274,62051,71312,143900,91623,78555,76861,,87128,117815,48725,69308,85127,36068,93728,47958,86737,,366374,,49735,104760,84975,78418,147732,138408,91567,56177,41862,,109846,,,29618,77263,103389,110929,68033,,61535,42963,,69256,,,50860,84795,,161370,,,28364,165343,109192,,,50592,,58697,109580,,,,,134574,100581,163004,,42465,50895,194684,,61767,,73573,72451,81792,,,74922,55313,137364,83070,,85271,,44441,,,,44991,,64658,52907,126493,117324,48160,93731,,92387,,103208,59545,77879,,,,42729,,31572,,104996,165306,34585,,64349,29041,56741,63479,74856,109209,43135,62257,,69958,54309,,88852,55267,,,,,,57480,,123440,106479,,,72517,89472,,40552,71322,155255,,112223,48794,,82403,104680,,88019,61556,157563,,85847,,125635,,,282944,109665,,151657,104296,63499,137771,,165227,
2002-05,164250,146717,55818,172571,171295,93386,58024,,91471,73581,81045,157936,269334,63831,42392,,139363,234675,192236,157624,39178,65625,49324,122795,113804,194145,108276,122686,63327,139956,276437,92474,59427,57925,156051,95832,76073,86555,90443,149752,56399,,82196,65522,50568,183090,99299,391591,49385,85714,107744,111999,,64322,157185,70794,139910,247532,28740,277893,123591,94467,57465,188733,86497,48082,168319,182561,75351,110124,100028,104353,52245,100249,41059,184881,143012,104829,54587,140419,100159,65924,76296,83995,48461,128440,,81912,61598,164534,106342,97006,,151543,56439,113796,245755,54767,59317,69806,60144,75738,50406,100428,350101,48824,311341,40498,75090,53546,79373,82071,104200,,,53724,80809,128838,87057,94020,52203,96378,52949,122916,82242,189781,124991,76449,116432,191381,76850,72386,85914,127932,94134,135027,,52121,101809,158134,97481,399936,71707,117314,61702,,,256432,,119130,73449,61871,340442,118381,392798,121783,124456,,89581,86336,148274,70738,45137,83543,150479,80788,80686,151590,38560,47470,178881,,165987,,64066,44458,60602,78960,72795,47679,72296,38262,53624,106488,38482,,,,157297,,73806,34533,,54581,102823,,50921,103382,94907,87814,76912,110068,61686,256815,78528,43548,61626,71028,141157,92002,79790,77586,,87536,117328,48957,70665,85269,36222,93854,48334,86946,,373230,,50514,105110,85357,79394,146428,140274,93040,56584,41919,,110251,,,29563,77596,104582,111464,68853,,61629,41695,,69656,,,50628,84985,,163440,,,28807,163859,109468,,,50413,,59015,109884,,,,,135979,101140,168372,,42450,51255,195888,,61869,,74212,72132,81497,,,74830,55683,136735,83285,,85327,,45041,,,,45348,,64906,53862,128853,117889,48288,94308,,92700,,103502,59429,77737,,,,43001,,31656,,105601,166879,34690,,65316,29252,57402,63897,75059,110457,43127,63774,,70799,54465,,89341,54547,,,,,,57349,,126127,107110,,,72692,90000,,41316,72012,163517,,113268,48886,,81738,104744,,88553,61517,158666,,87303,,125554,,,288074,110433,,150749,104389,64877,137977,,168471,
2002-06,167248,147926,56375,175785,175038,95284,58197,,92983,74682,81605,158176,270992,62942,42581,,140798,236360,193561,160978,39887,65068,49492,123870,115557,195586,108164,123175,63654,140400,277782,93289,60947,57979,154821,96424,75066,86904,90809,152270,56131,,82436,65474,50991,185843,101072,395374,50175,86828,109724,111688,,64345,159158,70952,140965,249147,28892,280155,123606,94007,57647,190369,86148,48468,171534,184246,75063,112490,102090,104733,52605,100756,41318,188545,143403,105436,55302,142726,100949,66338,77431,85502,48183,128608,,82575,61689,164673,107754,98816,,153545,56760,113838,247422,54458,59938,70621,59905,74758,50491,100565,358960,49347,314352,40539,75007,54243,80403,82994,105255,,,54025,80490,128787,87480,94729,52843,96160,52366,124999,82147,192700,125387,78103,117255,193785,76842,72622,86253,128657,95394,137044,,52570,102864,158647,98422,400233,72225,118701,61955,,,259993,,119555,73738,62199,344647,119585,395292,122725,125822,,89959,87062,149929,70935,45847,83241,151056,82350,81744,153733,38688,47508,182928,,166058,,64402,44978,59992,79521,75664,48083,71249,38466,54649,106320,38596,,,,160955,,74235,34106,,54301,102592,,51410,103915,96632,88500,76772,106693,61730,256919,79129,43971,61646,71332,140634,92506,80129,78617,,87597,117289,49450,69878,85735,36443,93699,48500,87556,,382891,,50782,105103,86644,79585,147396,141492,94037,57001,41500,,110925,,,29478,77863,105827,111497,70224,,61969,40407,,69750,,,50407,84845,,165228,,,29131,163209,109013,,,50192,,60239,109547,,,,,137290,102423,170052,,42323,52363,193369,,62010,,74960,72797,81670,,,74926,55425,137326,83839,,83614,,45538,,,,45074,,65472,54200,131860,118501,48840,95011,,92946,,104074,59531,78231,,,,43525,,31612,,106100,167812,35182,,66380,29354,58237,64387,75368,111030,42823,64833,,71600,54789,,89636,53709,,,,,,57463,,128291,107155,,,73134,90249,,41860,73233,167743,,114132,48674,,81411,104181,,89115,61518,160041,,88519,,125987,,,292492,112309,,149787,104438,66244,138344,,173099,
2002-07,170530,149585,57248,179343,179042,96970,58536,,94107,75812,81872,158338,273003,62243,42648,,142680,238398,194599,164839,40532,64973,49761,124996,117262,196963,108142,123326,63809,141454,279205,94030,61924,58215,154249,97612,73849,87419,92022,155088,55990,,82614,65716,51555,189456,103040,398606,50893,87609,111991,111662,,64729,161985,71269,141937,250876,28856,282806,122988,94056,57716,192652,85947,48579,174248,185934,74770,114785,103240,105522,52913,100612,41751,191936,143690,105893,56028,145439,101092,66615,79159,86692,47875,128415,,83243,62001,164308,108402,100318,,155593,57595,113865,251274,54388,60452,71514,59564,73756,50454,101049,364797,49268,315628,40591,75010,54939,81292,83902,106065,,,54267,80709,128517,87586,95001,53177,96746,52018,126603,81984,194704,126313,79426,118320,196181,77029,73102,86424,128241,97053,139803,,53295,105785,158106,98500,401436,73124,121035,62328,,,261168,,120282,73965,62645,349813,120049,399203,124001,127150,,90539,87310,151354,71144,46421,82967,151109,84311,82888,155589,38750,47186,187087,,165934,,64598,45440,57871,80100,77078,48388,69586,38963,55717,106414,38369,,,,165056,,74084,33458,,53786,100662,,51978,104186,99232,88883,75929,104329,61812,257508,79877,44558,61853,71532,141653,93665,78558,79292,,87990,117229,50359,68342,86881,36577,93738,48657,87789,,389722,,50734,105430,88638,79681,149999,142424,94624,56937,40794,,111764,,,29396,77778,107696,111092,71091,,62136,40597,,69970,,,51304,84876,,167214,,,29193,165537,108873,,,49962,,62661,109336,,,,,137955,102564,171224,,42583,53375,184296,,62103,,76096,73461,82181,,,75112,54683,138267,84155,,81666,,46039,,,,44500,95293,66174,53638,133342,118498,49892,96461,,93734,,105022,59618,78233,,,,44008,,31563,,106579,167940,35936,,66905,29302,59223,64525,75858,112248,42585,63653,,72530,55420,,90011,53287,,,,,,57844,,131935,107083,,,73450,90253,,42497,74122,169262,,113816,48659,,81669,104239,,89418,61912,160510,,88988,,127155,,,297302,113667,,149282,104006,66958,138681,,177149,
2002-08,173668,151181,57595,182862,182371,98567,58624,,95172,77001,81939,158557,274982,61626,42491,,145103,241271,195450,168950,41069,65359,50127,126058,119090,197854,107741,124166,63857,142724,279911,94417,62521,58652,154240,98571,72271,88080,92664,157372,55864,,82815,66193,52306,193541,105035,401449,51217,88832,114014,111336,,65214,164814,71570,142806,252081,28664,285386,122856,94860,57842,195046,85893,48237,176415,188221,75118,117112,104163,106209,53166,100373,42162,195695,143751,105937,56646,148616,101078,67138,80929,87415,47665,128620,,83564,62210,164322,109162,101465,,157416,58296,114268,257920,54642,61086,72039,59512,73492,50508,102042,367471,49188,317353,40379,75093,55214,81716,85129,106778,,,54651,81502,128800,87949,95935,52987,97457,52305,128330,82117,195702,126991,80136,119635,198822,77396,73616,85804,126672,98191,142189,,54019,110045,157346,96519,401040,74053,122928,62633,,,261501,,120754,74073,63238,351896,119650,402149,125852,128770,,90732,87653,152491,72201,46657,82565,151231,85875,83962,157088,38932,46751,192258,,166444,,64469,45757,55151,80622,75714,48677,68335,39483,56702,106943,38044,,,,169113,,74203,32793,,52986,98676,,52384,104095,101866,88710,75317,103623,62344,257864,79695,45511,61885,71227,142730,96069,77262,79627,,89537,116808,51497,67482,87816,36725,93470,48859,87383,,389965,,50746,105320,89859,80330,152123,145142,95094,56621,40461,,112360,,,29379,77445,109195,110834,71040,,62186,41486,,70286,,,52758,84720,,168491,,,29598,169621,108991,,,49551,,65109,109212,,,,,137913,103573,174294,,42963,53470,173989,,62029,,77186,73541,82292,,,75209,54065,139722,84492,,81010,,46482,,,,44313,97170,66594,52909,134278,117805,50643,98027,,94924,,106012,59991,78191,,,,44162,,31733,,107874,167815,36120,,67058,29317,60208,64370,75340,112096,42738,61716,,73732,55852,,90504,52872,,,,,,58547,,136195,107355,,,73765,89923,,43213,74718,168572,,112741,48698,,82881,104310,,89256,62570,161202,,89516,,128585,,,302895,114192,,148217,104005,67198,138706,,179462,
2002-09,176746,152299,57365,186107,185315,100069,59022,,96459,78474,82045,158784,276557,61328,42296,,148052,244315,196169,172381,41591,65841,50279,127076,121157,198603,107008,125747,63986,144590,280884,94812,63021,59159,154218,98691,71698,88887,93077,159543,55654,,83170,66238,53174,197455,106740,404432,51299,90335,115849,111378,,65445,167353,71912,143554,252962,28682,287288,123535,95456,58195,198474,85767,47785,178293,190540,76118,119402,105676,106993,53405,101601,42155,199950,143727,105916,57181,152091,101383,67739,82213,87948,47298,129191,,83439,62439,164690,110901,103062,,159702,58659,114849,266007,55056,62015,73001,59869,74164,50689,103314,373023,49253,320078,39672,74838,55217,82589,86376,107488,,,55087,82000,129813,89064,97880,53140,98224,52690,129369,82645,197298,127653,80554,121084,201011,77956,73938,85217,125638,98454,143395,,54621,113209,157323,95550,402059,74759,124320,62919,,,263498,,120858,73800,63963,350840,119355,404665,127881,130571,,89741,88402,153476,73505,46793,81681,151583,86427,84446,158625,39198,46807,196931,,167384,,64515,46551,53146,81021,74876,49097,67908,39910,57714,106076,37801,,,,171651,,75253,32752,,52114,98227,,52475,104060,104259,90658,74998,103731,63269,257887,79899,46282,61830,70977,143995,99612,77568,80115,,91436,116850,52346,66594,88101,36944,92524,49148,87183,,390812,,50979,105260,90402,80953,154902,149201,95057,56325,40449,,112629,,,29480,77359,109672,110897,71129,,62198,41504,,70620,,,53528,84280,,168681,,,30129,173717,109254,,,48538,,66700,109201,,,,,139612,107114,175927,,43122,53615,169139,,62025,,78034,73542,82545,,,74891,54045,141583,85154,,81061,,47066,,,,44518,98352,67172,53349,134956,117579,50951,99267,,95796,,106528,60562,78919,,,,44210,,31963,,109202,167686,36218,,67359,29603,61007,64518,73591,110332,43060,61199,,75312,55713,,90787,52982,,,,,,59208,,139592,107553,,,74003,89336,,44001,75498,166762,,112623,48227,,84249,103666,,89297,63110,162531,,90736,,130255,,,307487,113662,,148177,104727,67690,138868,,181498,
2002-10,180104,152962,57647,189613,188459,101403,59568,,97838,79957,82263,159109,277792,61479,42367,,150095,246640,197301,174719,42094,66261,50348,128244,122879,199709,106365,126514,64139,146058,282665,95593,63482,59539,154113,98267,72487,89843,94662,161660,56717,,84239,66156,54077,200666,108020,406304,51566,91879,117540,111539,,65669,169707,72343,144280,254234,28871,288353,123935,96459,58764,201802,85736,47782,179814,193257,76569,122095,106846,108084,53807,104626,41853,203984,143704,106022,58044,155543,101717,68151,83045,89173,46752,129895,,83215,62770,165145,112615,105891,,163908,58875,115684,273364,55611,62575,74958,60448,74658,50992,104598,381950,49242,321504,39216,74213,55030,83894,87480,107979,,,54947,82377,131113,91578,99897,53480,99413,52302,130335,83258,199335,129028,81352,122810,203354,78674,74098,85221,125142,98744,145171,,55148,114793,157736,96100,404240,75786,125572,63084,,,267888,,120538,73383,64437,350292,119205,406651,129945,132279,,88208,88959,154883,74372,47490,80702,151313,86953,85040,161302,39469,47289,200180,,168042,,64616,47311,52614,81456,74011,49687,68365,40371,58372,104383,38045,,,,173886,,76718,32886,,51892,98676,,52378,104745,106392,95539,74619,104549,63208,258469,79769,46570,61674,71078,146754,102950,78539,80534,,93713,117446,52974,66402,88018,37078,92466,49557,87478,,399773,,51236,106852,91492,81231,157824,152014,95064,56249,40740,,113410,,,29615,77538,109365,110903,71674,,61873,40588,,71090,,,53905,83770,,169359,,,30185,178030,110357,,,47463,,67384,108955,,,,,142205,110081,177993,,43395,54183,167583,,62335,,78652,74222,82670,,,74890,54326,143293,85953,,81564,,47624,,,,44613,99097,68148,54808,135128,117872,51466,100405,,96245,,106648,60886,79989,,,,44310,,31995,,110039,169075,36559,,67959,29817,61623,64914,72023,110319,43375,62233,,76788,56072,,91012,53439,,,,,,59872,,142297,107284,,,74183,88986,,44656,75968,165480,,112814,47357,,84639,102892,,89569,63548,164231,,92075,,131501,,,310392,112604,,150076,105091,68751,138739,,183304,
2002-11,183868,153654,58025,193650,192007,102769,59823,,99296,81235,82690,159482,278285,61989,42712,,151763,248472,199225,176709,42724,66597,50409,129452,124547,201300,106130,126917,64196,146266,284859,96887,63409,59785,154063,98210,72839,90659,96619,163365,58216,,85613,66451,55008,203649,109242,407267,52181,93492,119019,111108,,65847,172077,72645,145160,255931,28937,289749,123668,97891,59196,204528,85837,47521,181129,196965,76687,124616,108133,109163,54377,107127,41573,208318,143734,105892,59388,158390,102102,68496,83734,91681,46045,130033,,83018,63207,165668,113411,109571,,169275,58885,117207,279816,56518,63010,76705,61321,75409,51243,105769,388816,49219,324402,39403,73708,54899,84947,88753,108579,,,54984,83131,132477,94876,101115,53267,100639,51377,132297,83726,201867,130700,82794,124624,206251,79347,74755,85256,124728,99146,147077,,55640,116088,157916,96215,405337,76453,127444,62946,,,272620,,120146,73512,64801,351289,118433,407464,131811,133552,,87400,89434,156451,74891,48039,80422,150420,87747,85811,165150,39719,47762,203637,,169413,,64602,47646,52749,82099,73367,50316,69225,41062,58533,104059,38731,,,,176838,,78379,32828,,51984,98942,,52304,106158,108615,100509,74742,106213,62237,259591,79235,46734,61027,71457,149687,105860,78849,80781,,95704,117111,53797,66451,87885,37179,94316,49986,87569,,411033,,51697,110042,93373,81876,160231,154128,95903,56505,41342,,114009,,,29901,77728,109466,110980,71815,,61656,39748,,72076,,,54708,83271,,171713,,,29963,181999,111508,,,47082,,67179,108593,,,,,143345,112928,180604,,43865,54566,165037,,62560,,79048,75079,82310,,,75748,54717,146161,86845,,83457,,48207,,,,44604,99867,69329,56323,135711,117893,52214,101492,,96454,,106961,60935,80397,,,,44404,,31953,,109697,171618,36578,,68885,29759,62116,65166,71550,112866,44021,63350,,78121,56737,,91486,54051,,,,,,60511,,145416,107287,,,74346,88866,,45410,76247,165566,,112593,47357,,84244,103027,,89328,63729,166743,,93663,,132475,,,314086,111828,,152291,104889,69533,137896,,184209,
2002-12,187411,154338,58428,197739,195769,104460,59613,,101283,82710,83062,160066,277673,62738,42798,,154424,250106,201424,178853,43441,66745,50428,130738,126301,202857,106220,126789,64473,146213,287085,98519,63009,60079,153964,98381,72551,91258,97835,165439,59445,,87137,66737,56022,207285,110895,406869,52601,95308,120365,110915,,65354,174257,72688,146244,257819,28956,291993,123114,99294,59570,206852,86033,46998,182759,201385,77043,127186,110168,109892,54782,107608,40969,213153,143962,105543,60561,160624,102174,69011,84436,94507,45823,130252,,82990,63219,165945,114059,112670,,172583,59137,119148,285165,57558,63756,77642,62224,76163,51386,106735,391641,49578,331105,39587,73896,54861,86018,90148,109353,,,55245,84401,133395,97152,102143,53430,101930,50962,134014,84194,205732,132344,83983,126351,209329,79964,76121,84813,124591,99624,148951,,55736,116797,158098,97000,406385,76142,129843,62570,,,276801,,120607,74142,64672,352941,117738,408362,133356,134660,,87360,89426,157992,75144,48433,80565,150509,88581,86711,168641,40100,47648,207240,,170097,,65306,47651,53487,82866,73704,50982,70037,41591,58872,104784,39295,,,,179121,,80284,32808,,51942,98679,,52063,107384,110975,103151,75275,106983,61410,260273,79465,47363,60783,72444,149464,108284,80297,80938,,96659,117558,54960,66281,87099,37368,96162,50431,87593,,419767,,52460,115205,95127,82542,162891,156608,97492,56928,41504,,113713,,,30262,77754,109630,111403,72137,,62182,38947,,72912,,,55288,82446,,175209,,,29978,184531,112261,,,47537,,67963,108523,,,,,144709,115034,183782,,44354,55091,161054,,62432,,78965,75617,81367,,,77124,54917,151049,88043,,85998,,48709,,,,44771,99999,70612,57182,136652,118493,53109,102485,,97227,,106937,61142,80627,,,,44374,,31917,,109435,174117,36406,,70026,29552,62489,65651,70949,114451,45151,63869,,79224,56957,,91846,54412,,,,,,60893,,149270,107611,,,74793,88478,,45884,76585,165548,,112970,48245,,83776,103193,,88870,63684,169865,,95144,,133395,,,317098,111515,,152599,104855,70259,136760,,184610,
