"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-03-31,"90810","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Long Beach",4459,2339,0.000427715996578272,-0.0034086067319983,0.0276801405975395,5764
2018-03-31,"30528","GA",,"White","Cleveland",4460,1172,-0.00424808836023789,-0.00509337860780985,0.0473637176050045,10247
2018-03-31,"78238","TX","San Antonio","Bexar","San Antonio",4461,1254,-0.000796812749003984,0.00159744408945687,0.0153846153846154,5646
2018-03-31,"92231","CA","El Centro","Imperial","Calexico",4462,1307,-0.0135849056603774,0.00538461538461538,0.114236999147485,7088
2018-03-31,"28570","NC","Morehead City","Carteret","Newport",4463,1116,0.00179533213644524,-0.0053475935828877,0.0154686078252957,5807
2018-03-31,"29045","SC","Columbia","Kershaw","Elgin",4464,1141,-0.00349344978165939,-0.00174978127734033,-0.00523103748910201,9652
2018-03-31,"28144","NC","Charlotte","Rowan","Salisbury",4465,909,-0.00764192139737991,-0.0380952380952381,0,5800
2018-03-31,"29405","SC","Charleston","Charleston","North Charleston",4466,1247,0.0097165991902834,0.0229696472518458,0.0540997464074387,7742
2018-03-31,"35805","AL","Huntsville","Madison","Huntsville",4467,740,0.00407055630936228,0.0013531799729364,0.180223285486443,4738
2018-03-31,"26062","WV","Weirton","Hancock","Weirton",4468,806,0.0100250626566416,0.0689655172413793,0.0703851261620186,8197
2018-03-31,"48326","MI","Detroit","Oakland","Auburn Hills",4469,1400,-0.0014265335235378,0.000714796283059328,0.0432190760059613,5130
2018-03-31,"55014","MN","Minneapolis-St Paul","Anoka","Lino Lakes",4470,1570,-0.00569981000633312,-0.0236318407960199,0.00705580500320718,9278
2018-03-31,"98372","WA","Seattle","Pierce","Puyallup",4471,1932,0.00520291363163372,0.0147058823529412,0.100227790432802,6173
2018-03-31,"24701","WV","Bluefield","Mercer","Bluefield",4472,751,0.00805369127516779,0.0577464788732394,0.0107671601615074,5634
2018-03-31,"61103","IL","Rockford","Winnebago","Rockford",4473,851,0.00235571260306243,0.00591016548463357,0.0378048780487805,6508
2018-03-31,"19018","PA","Philadelphia","Delaware","Upper Darby",4474,1344,0.00373412994772218,0.00825206301575394,0.0306748466257669,7521
2018-03-31,"40223","KY","Louisville/Jefferson County","Jefferson","Louisville",4475,1744,0.00402993667242372,0.00809248554913295,0.00229885057471264,14918
2018-03-31,"11570","NY","New York","Nassau","Rockville Centre",4476,3496,0.000572409845449342,0.00286861732644865,0.0681332111212954,6588
2018-03-31,"77016","TX","Houston","Harris","Houston",4477,1192,-0.000838222967309304,0.0136054421768707,0.0428696412948381,9066
2018-03-31,"85259","AZ","Phoenix","Maricopa","Scottsdale",4478,3025,0.00364963503649635,0,-0.0350877192982456,9276
2018-03-31,"67218","KS","Wichita","Sedgwick","Wichita",4479,774,0,0.00259067357512953,-0.010230179028133,6785
2018-03-31,"53916","WI","Beaver Dam","Dodge","Beaver Dam",4480,1051,-0.0112888052681091,-0.0322283609576427,-0.0295475530932595,7411
2018-03-31,"06704","CT","New Haven","New Haven","Waterbury",4481,1255,0.00159616919393456,0.00560897435897436,0.00159616919393456,4904
2018-03-31,"54751","WI","Menomonie","Dunn","Menomonie",4482,1182,0.011986301369863,0.0368421052631579,0.0488021295474712,7060
2018-03-31,"30168","GA","Atlanta","Cobb","Austell",4483,1220,0.00246507806080526,0.0141313383208645,0.0608695652173913,5598
2018-03-31,"32966","FL","Vero Beach","Indian River","Vero Beach",4484,1473,0.0089041095890411,0.0200831024930748,0.0279134682484299,5751
2018-03-31,"89145","NV","Las Vegas","Clark","Las Vegas",4485,1261,0.00718849840255591,0.01285140562249,0.0482128013300083,9591
2018-03-31,"79902","TX","El Paso","El Paso","El Paso",4486,1150,0,0,0.0249554367201426,4171
2018-03-31,"15101","PA","Pittsburgh","Allegheny","Hampton",4487,1551,0.00193798449612403,-0.011472275334608,-0.0300187617260788,8458
2018-03-31,"30720","GA","Dalton","Whitfield","Dalton",4488,1162,0.00606060606060606,0.0237885462555066,0.0496838301716351,6840
2018-03-31,"28704","NC","Asheville","Buncombe","Arden",4489,1507,0.00399733510992672,0.0114093959731544,0.0314852840520192,5579
2018-03-31,"91042","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",4490,2788,0.00540930400288496,0.0201244054152945,0.0637161388782907,6674
2018-03-31,"87102","NM","Albuquerque","Bernalillo","Albuquerque",4491,1112,-0.00179533213644524,0.0054249547920434,0.0296296296296296,5958
2018-03-31,"44012","OH","Cleveland","Lorain","Avon Lake",4492,1834,-0.00703844071467244,0.00769230769230769,0.0858496151568976,9076
2018-03-31,"11414","NY","New York","Queens","New York",4493,2186,0.00183318056828598,0.0219728845254792,0.00045766590389016,5909
2018-03-31,"60002","IL","Chicago","Lake","Antioch",4494,1636,0.00863131935881628,0.00122399020807834,0.0334807327858497,9485
2018-03-31,"37862","TN","Sevierville","Sevier","Sevierville",4495,1783,0.0433001755412522,0.083232077764277,0.322700296735905,10225
2018-03-31,"61111","IL","Rockford","Winnebago","Loves Park",4496,1080,-0.0118938700823422,-0.00460829493087558,-0.0154968094804011,7510
2018-03-31,"07675","NJ","New York","Bergen","River Vale",4497,2994,-0.00166722240746916,0.00200803212851406,0.0285125386465132,8424
2018-03-31,"99577","AK","Anchorage","Anchorage","Anchorage",4498,2032,0.00793650793650794,0.00793650793650794,-0.00829673011224988,8377
2018-03-31,"32043","FL","Jacksonville","Clay","Green Cove Springs",4499,1344,0.00598802395209581,0.0197268588770865,0.0434782608695652,7470
2018-03-31,"32536","FL","Crestview-Fort Walton Beach-Destin","Okaloosa","Crestview",4500,1206,0.000829875518672199,0.00920502092050209,0.0405522001725626,7862
2018-03-31,"78382","TX","Corpus Christi","Aransas","Rockport",4501,1522,0.00462046204620462,0.00794701986754967,-0.012970168612192,10726
2018-03-31,"28334","NC","Dunn","Harnett","Dunn",4502,935,0,0,0.0174102285092492,5140
2018-03-31,"67501","KS","Hutchinson","Reno","Hutchinson",4503,638,0.00314465408805032,0.0159235668789809,0.0459016393442623,8959
2018-03-31,"19973","DE","Salisbury","Sussex","Seaford",4504,1246,-0.000801924619085806,0,0.0586236193712829,7109
2018-03-31,"37412","TN","Chattanooga","Hamilton","East Ridge",4505,1136,0.0088809946714032,0.0317892824704814,0.0798479087452472,6719
2018-03-31,"61938","IL","Charleston","Coles","Mattoon",4506,1136,0.000881057268722467,0.00977777777777778,0.136,8157
2018-03-31,"70820","LA","Baton Rouge","East Baton Rouge","Baton Rouge",4507,1353,-0.00221238938053097,-0.0124087591240876,-0.0356379187455453,4518
2018-03-31,"15202","PA","Pittsburgh","Allegheny","Bellevue",4508,1140,0.0160427807486631,0.0373066424021838,0.00529100529100529,5364
2018-03-31,"76106","TX","Dallas-Fort Worth","Tarrant","Fort Worth",4509,1096,0.00827966881324747,0.0271790065604499,0.0671859785783836,7654
2018-03-31,"37334","TN",,"Lincoln","Fayetteville",4510,1004,0.00199600798403194,0.000997008973080758,0.0318602261048304,9643
2018-03-31,"43227","OH","Columbus","Franklin","Columbus",4511,945,0.00212089077412513,0.0128617363344051,0.0594170403587444,7213
