"RegionName","City","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"33178","Doral","FL","Miami-Fort Lauderdale","Miami-Dade",85,,,,,,1.18387370084835,1.19979134063641,1.19742990654206,1.20604587729632,1.21518987341772,1.21735103426984,1.22663551401869,1.22663551401869,1.22663551401869,1.26432165081395,1.24188311688312,1.25164907651715,1.26671420930647,1.28301009088957,1.29213483146067,1.29913391072618,1.26738725473792,1.25492132782605,1.26582278481013,1.29032258064516,1.28859078021632,1.29255379815528,1.30765572990965,1.32978723404255,1.33720930232558,1.31509731720147,1.33736940332644,1.35350318471338,1.38522427440633,1.35702370120023,1.34831460674157,1.3801610102223,1.37184115523466,1.35787567893784,1.36307334284213,1.37715517241379,1.39411692802012,1.33963750985028,1.33378932968536,1.37921709777886,1.37706192536506,1.33689839572193,1.31168019987508,1.36770120988953,1.50911934769842,1.48051111087657,1.42518618821936,1.50602409638554,1.50858529660041,1.49692548372027,1.54761904761905,1.52892561983471,1.52173913043478,1.52849594503924,1.50793650793651,1.45240970226868,1.44832189168574,1.41509433962264,1.37299775421271,1.48138695219124,1.44862207299525,1.51331719128329,1.4547515270652,1.45962732919255,1.50228608752449,1.5100404886459,1.58248299319728,1.56385751520417,1.63216560509554,1.62460019067829,1.59893063752703,1.6245066242389,1.6155758077879,1.61143690476276,1.61603102779573,1.54911008569545,1.55026426270588,1.56725996785196,1.6155758077879,1.61603102779573,1.58267153015052
"10010","New York","NY","New York","New York",86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6875,5.94297635605007,5.68222402597403,5.74022988505747,5.71708124821151,5.84975369458128,5.68222402597403,5.96034329453973,5.90909090909091,6.23015873015873,5.81510187730212,5.75,5.78624914908101,5.79491515596614,5.69948186528497,5.5,5.44041450777202,5.43259557344064,5.35714285714286,5.67863254644959,5.95,5.81858407079646,5.71638039379975,5.64465380125492,5.54785020804438,5.52392510402219,5.80204778156997,5.76450511945392,5.78082625227847,5.53319919517103,5.76450511945392,5.66666666666667,5.67694805194805,5.81666666666667,5.65593087195601,5.6,5.50555555555556,5.5,5.60943346013557,5.6,5.5906976744186,5.7,5.81106938011893,5.90015847860539,6.10505246166263
"33062","Pompano Beach","FL","Miami-Fort Lauderdale","Broward",87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48809523809524,1.65,1.65,1.57441535332994,1.68269230769231,1.70984287754837,1.75150954421504,1.75150954421504,1.71428571428571,1.68,1.664,1.66078431372549,1.77876344086022
"66502","Manhattan","KS","Manhattan","Riley",88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.825244584206848,0.856829000366166,0.856034482758621,0.8125,0.78125,0.8125,0.779946468298109,0.772357723577236,0.76318359375,0.8125,0.8125,0.795247395833333,0.816326530612245,0.803818154055838,0.725
"92103","San Diego","CA","San Diego","San Diego",89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20920774080224,2.26428571428571,2.34615384615385,2.55,2.45762108262108,2.58017676767677,2.6,2.62833333333333,2.45,2.28125,2.2523097826087,2.48015873015873,2.43541666666667,2.3156746031746
"19103","Philadelphia","PA","Philadelphia","Philadelphia",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3217535153019,2.35674676524954,2.49375,2.48958333333333,2.57831624039841,2.46045694200351,2.44962216624685,2.37761498499085,2.58440018966335,2.62669962917182,2.62104212227822,2.59343463635309,2.65957446808511,2.51506024096386,2.62104212227822
"98109","Seattle","WA","Seattle","King",91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0674448767834,3.29168199468629,3.05336957217881,3.07464454976303,2.93707926468413,2.58333333333333,2.55555555555556,2.42242200328407,2.46666666666667,2.45,2.4945652173913,2.59259259259259,2.5401307713292
"76542","Killeen","TX","Killeen","Bell",92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.529100529100529,0.601092896174863,0.533509700176367,0.560869565217391,0.564525691699605,0.558086560364465,0.541666666666667,0.533894045157512,0.518292682926829,0.53236797274276,0.553806297656678,0.55366269165247,0.544713960669592,0.572916666666667,0.581449844368987
"33180","Aventura","FL","Miami-Fort Lauderdale","Miami-Dade",93,,,,,,,,,,,,1.45502645502646,1.53735898870802,1.54049295774648,1.50038752906468,1.46886016451234,1.54380484736832,1.60427807486631,1.58940397350993,1.58940397350993,1.62249864791779,1.58684393859274,1.61111111111111,1.52673507703182,1.5391380826737,1.58940397350993,1.67930660888407,1.67930660888407,1.68260631220258,1.6971850613155,1.6971850613155,1.70407315045719,1.69491525423729,1.70755294502583,1.70827858081472,1.70751333307507,1.74312378993224,1.74249757986447,1.74249757986447,1.81686046511628,1.84398009271884,1.87271851606035,1.83707749242586,1.83608714433494,1.83553597650514,1.82748538011696,1.8125,1.83688464364438,1.84182015167931,1.87265917602996,1.83553597650514,1.83584708429777,1.81686046511628,1.82909896160637,1.82841068917018,1.89775056826631,1.89426493737991,1.83553597650514,1.82083899168223,1.82835820895522,1.86737804878049,1.83557620743065,1.83584708429777,1.83197333283766,1.81686046511628,1.82083899168223,1.79487179487179,1.7962962962963,1.8361581920904,1.78764897074756,1.81391678094484,1.78836309177679,1.8095987411487,1.85294117647059,1.86282811176969,1.85696594897665,1.87265616054048,1.88129908652712,1.87793427230047,1.89425141031401,1.87414615869478,1.86933678052911,1.85185185185185,1.84491978609626,1.83351890400349,1.82049110922947
"01970","Salem","MA","Boston","Essex",94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72050622050622,1.76470588235294,1.70129310344828,1.88394875659382,1.7718660497907,1.74773755656109,1.73076923076923,1.73282233780454,1.75954592363261,1.77884615384615,1.9116341991342,1.80913865546218,1.75420168067227
