"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"33578","Riverview","FL","Tampa","Hillsborough",269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127900,129900,133303,132000,129950,134000,131500,130041.5,120495,123000,125000,121500,129900,130008,128021.5,123449.5,126410.5,130000,132000,142396.5,145000,140368,137593,145000,147146.5,146583,143583
"80123","Denver","CO","Denver","Denver",271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304900,307250,265000,262500,262500,269500,290000,280000,270000,265000,272450,269950,275000,270000,261500,265000,285000,292500,287500,299900,310000,320000,305000,299950,299900,307500,310000,307500
"80504","Longmont","CO","Boulder","Boulder",272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250000,250000,249937.5,257225,256350,257225,264162.5,275000,275000,262500,289000,319900,353475,322500,312000,290000,290000,285000,294950,305000,309950,322500,366950,364880,314450
"97301","Salem","OR","Salem","Marion",273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115000,115000,112250,110000,114250,111750,115000,115000,111100,115000,115000,115000,115000,114900,116900,119450,123900,124900,130000,129000,125000,124900,124900,119950,121250,120000,119950,115900,104000,122450,129900,132995,132995,149950,149950,152450,145000,144900,142450,135000,137450,149200,154900,159950,145900,160000,174900,182450,185000,179900,195000,179950,188750,183250
"33176","Kendall","FL","Miami-Fort Lauderdale","Miami-Dade",274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132300,128000,129983,129925,129975,130000,130000,130000,130000,135000,135000,140000,136450,139000,139000,135000,135000,139000,138950,136400,138945,151500,155000,154999.5,149000,145000,150000,151500,165000,187900,186450,169800,170000,170000,169900,169000,169000,165000,169000,169250,175000,176500,178000,185000,187000,187000,193200,191950,187000,189000
"89122","Las Vegas","NV","Las Vegas","Clark",275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109900,109180,114900,124900,124900,127000,129950,129900,135000,135000,119450,124945,130000,143250,132000,149749.5,150000,159900
"92618","Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange",276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385000,429000,473055,499900,509800,518500,505417.5,515361,518095,524000,526900,522990,524888,514402.5,500995,495995,509279,521495,541500,559900,575990,559000,536650,538922.5,541195,594990,590490,586995,610990,615445,639888,639000,639900,649990,649990,674900,715958,662450,659400
"87112","Albuquerque","NM","Albuquerque","Bernalillo",277,165000,159000,160000,161000,166750,165000,160000,160500,149900,145900,147000,148500,139950,137450,142500,139900,139900,140000,140000,144950,144900,139900,139900,139250,129925,128450,131500,130000,129950,135000,134000,132000,131500,132000,129900,134000,129950,128000,139000,141900,143900,139750,139900,142400,145000,145500,146000,146000,149975,150000,151000,142500,147000,144950,140000,145000,145000,139900,139000,139900,144900,141400,144000,144995,149900,149950,149000,142500,139400,144700,142500,142500,145750,150000,150000,149850,149800,147900,144000,145000,140000,139900,143900,145000,149000,149400,148500,147950,149250,149500,154900,155450,150000,150000,150000,153750,156250,154900,149900
"98661","Vancouver","WA","Portland","Clark",278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189700,169900,174900,164950,153450,156900,159950,177000,167000,187500,179900,174950,177450,175000,177900,169900,175000,175000,175000,175000,185000,179500,179700,194450,199900,192450,186000,185000,189000,189000,184500,179900,179900,185000,185000,195000,194950,206000,212500,219000,215000,222425,229000,217500,220000,219950,227400,230000,219900,241215,244700,244900,255000,256500,252450,262450,262450,249900
"96789","Mililani","HI","Urban Honolulu","Honolulu",279,270000,284900,280000,280000,280000,282450,275000,275000,265000,255375,249750,249900,255000,237950,238000,237500,229000,235000,239250,249500,249500,255000,255000,255000,260000,256950,255000,256000,255000,255000,253000,240750,240000,240000,255000,257000,257000,256000,260000,263000,275500,275000,277500,279000,290000,279500,275000,275000,270000,269450,275000,282500,289000,292500,290000,289700,298500,299000,290500,295250,310000,310000,310000,307500,317000,315000,289750,310000,329500,335000,335000,327500,335000,317500,336500,335000,335000,337500,346500,329750,337500,345000,337000,330000,334500,342000,346000,365000,365000,364000,365000,366500,362750,373500,375000,357250,354250,345888,349500
