"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","60135","Genoa","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,1.2096106048053,50,,,158951,0.141122808343886,1.25815411273061,0.0348535083138828,,0.149078726968174,0.0674157303370786,114
"Zip","60136","Gilberts","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,3.27709572945696,0,,,259405,0.506396795015847,3.00225536443195,0.0402729322873498,,0.205645161290323,0.0252100840336134,108
"Zip","60137","Glen Ellyn","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,1.84830910597273,76.74,,,349512,-0.835844270806735,0.503506718694736,0.0197303669115796,,0.0850812407680945,0.0138888888888889,112
"Zip","60139","Glendale Heights","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,3.48346765082473,75,,,192837,0.409789117417339,9.04603030988464,0.0419369726764054,,0.193181818181818,0.0446247464503043,107
"Zip","60140","Pingree Grove","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,1.60352489267154,60,,,246048,0.00894214432620942,3.13148375576858,0.0379438158408116,,0.188759926695174,0.0339805825242718,110
"Zip","60142","Huntley","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,4.95066656624237,58.06,,,262267,0.525111442446636,10.5054480184044,0.0495563681286628,,0.109164897381458,0.0470016207455429,97
"Zip","60143","Itasca","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,3.4872335617986,88.89,,,285942,-0.0946847278076118,3.88786554328752,0.0407914891831211,,0.114232209737828,0.0218579234972678,112
"Zip","60145","Kingston","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,6.84717933268058,100,,,179947,0.0889941986906728,6.46176601094513,0.0431960521709169,,0.146171693735499,0.0317460317460318,114
"Zip","60146","Kirkland","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,3.28236800482037,,,,133461,0.911874787342633,2.30345863739498,0.0346468256644263,,0.184343434343434,0.0821917808219178,114
"Zip","60148","Lombard","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,5.96670934699104,80.56,,,254656,0.412840238319618,7.83563128832277,0.0409100904749937,,0.109002045919527,0.0291970802919708,99
"Zip","60150","Malta","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,7.9505912480229,,,,138640,2.04622405417341,8.62054106567845,0.0448860357761107,,0.220883534136546,0.0545454545454545,114
"Zip","60151","Maple Park","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,7.6169315357385,100,,,238508,0.473071171304,5.70007888462459,0.0378310161504016,,0.118032786885246,0.0277777777777778,108
"Zip","60152","Marengo","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,5.09753709422309,83.33,,,179910,0.601112757569827,11.3015181697826,0.0399421933188817,,0.141633352370074,0.0524193548387097,120
"Zip","60153","Maywood","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,6.45025231603525,100,,,147041,1.67685456657631,24.3707074466285,0.0632000598472535,,0.237883008356546,0.166276346604215,91
"Zip","60154","Westchester","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,2.73480454922046,90,,,234291,0.324149802598337,4.60680528456555,0.0354729801827642,,0.149258542875564,0.0388768898488121,99
"Zip","60155","Broadview","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,2.38683437523537,100,,,157655,0.224409098422143,3.33763756612023,0.0343027496749231,,0.17429406037001,0.0502793296089385,120
"Zip","60156","Lake in the Hills","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,4.73751600512164,58.62,,,220491,0.59446685037502,13.3309346971293,0.0514850946297127,,0.161247947454844,0.0610997963340122,90
"Zip","60157","Medinah","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,5.53287640280184,100,,,313644,-0.617882469248465,0.697333949761134,0.033875986787568,,0.0737327188940092,0,112
"Zip","60160","Melrose Park","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,2.14205016193417,100,,,182288,-1.80352948781486,5.66623964570786,0.0436836215219871,,0.224742268041237,0.0642201834862385,120
"Zip","60162","Hillside","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,2.84928824282594,71.43,,,172299,0.620193065750977,9.05207060893561,0.0458621350094892,,0.243391066545123,0.0861423220973783,120
"Zip","60163","Berkeley","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,7.12133765157792,100,,,179027,0.720691323574089,13.1206480393272,0.0546062884369396,,0.205513784461153,0.0670731707317073,120
"Zip","60164","Northlake","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,2.2859079611358,89.47,,,180866,0.14617778319177,7.18048699547849,0.0429433945572966,,0.177861163227017,0.0717299578059072,120
"Zip","60165","Stone Park","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,7.04225352112676,100,,,158900,1.12323798008082,12.6510935450711,0.0512083071113909,,0.314432989690722,0.0819672131147541,120
"Zip","60171","River Grove","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,5.20222941929653,62.5,,,198361,0.804459848153757,10.604261108602,0.0492586748403163,,0.172920065252855,0.0330188679245283,120
"Zip","60172","Roselle","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,0.82925359644498,90,,,243402,-0.140720835299186,1.58935532609331,0.0409692607291641,,0.12321630804077,0.03125,134
"Zip","60173","Schaumburg","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,2.98862694885893,33.33,,,236573,1.00116126167666,4.91693497600738,0.0323578768498518,,0.195596951735817,0.0216450216450216,103
"Zip","60174","Saint Charles","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,2.97055057618438,72,,,270648,0.387234610762452,4.8864706497855,0.0358731636664598,,0.108027565654684,0.0379310344827586,115
"Zip","60175","Campton Hills","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,2.68283497778113,57.14,,,387574,0.357853088619132,2.32841810669166,0.0307915391641338,,0.0845670249442304,0.026378896882494,147
"Zip","60176","Schiller Park","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,2.16464562777736,85.71,,,188981,0.184485217326767,5.60842717035961,0.038707594943407,,0.226038338658147,0.0318021201413428,120
