"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"65584","Saint Robert","MO","Fort Leonard Wood","Pulaski",477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,850,785,842.5,835,697.5,695,700,775,750,725,697.5,725,750,795
"10528","Harrison","NY","New York","Westchester",478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2072.5,2200,2250,2300,2472.5,2250,2425,2350,2450,2675,2500,2300,2300,2195,2200,2300
"02113","Boston","MA","Boston","Suffolk",479,,,,,,,,,,,,,,,,2400,2400,2250,2400,2400,2400,2197.5,2400,2400,2450,2500,2400,2397.5,2200,2400,2400,2500,2400,2400,2400,2600,2492.5,2490,2400,2350,2325,2372.5,2400,2400,2400,2400,2500,2490,2400,2400,2490,2500,2500,2500,2500,2500,2500,2500,2500,2400,2250,2300,2350,2400,2300,2400,2500,2500,2487.5,2500,2400,2500,2450,2500,2400,2500,2415,2600,2700,2700,2650,2725,2700,2600,2500,2500,2500,2500,2420,2700
"02111","Boston","MA","Boston","Suffolk",480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2950,3300,3250,3225,2950,3040,3100,3065,2995,3000,2924,2799,3000,3000,3125,3100,3000
"11109","New York","NY","New York","New York",481,,,,,,,,,,2647.5,2675,2750,2642.5,2720,2675,2625,2730,2650,2687.5,2805,2860,2880,2820,2795,2825,2880,2800,2800,2900,2935,2887.5,2927.5,2900,2900,2850,2827.5,2850,2902.5,2895,2912.5,2920,2945,2900,2872.5,2825,2850,2892.5,3065,3095,3100,3150,3110,3290,3189.5,3080,3075,3095,3150,3140,3150,3100,3035.5,3040,3045,3217.5,3200,3195,3120,3300,3100,3195,3160,3200,2995,3280,3295,3350,3375,3395,3300,3350,3425,3347.5,3342.5,3226,3020,2953,3184,3220,3300
"10522","Dobbs Ferry","NY","New York","Westchester",482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2397.5,2200,2100,2050,2000,1995,2172.5,2362.5,1972.5,1995,2100,1997.5,2097.5,2250
"02460","Newton","MA","Boston","Middlesex",483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2499.5,2499,2499.5,2500,2600,2650,2650,2600,2600,2500,2400,2500,2500,2550,2500
"10604","White Plains","NY","New York","Westchester",484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,2225,2200,2350,2300,2350,2350,2425,2400,2200,2050,2350,2275,2300
"10007","New York","NY","New York","New York",485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5495,5895,5350,4950,4885,5200,4747.5,5445,5107.5,5595,5095,5350,5322.5,4895,5045,4750,4645,4800,4800,4825,4823,5000,4922.5,4995,5000,5145,5300,5060,5859,6497.5,6950,6500,6500,6200,6200,5495,5497.5,5495,5037,5350,5200,5095,5190
"02466","Newton","MA","Boston","Middlesex",486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2130,1950,2100,2160,1962.5,2025,2100,2100,2060,2030,2030
"10282","New York","NY","New York","New York",487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5750,6195,6200,6342.5,6095,6195,5612.5,5997.5,5547.5,4787.5,4675,5143,5200,4750
"60606","Chicago","IL","Chicago","Cook",488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1901,1893.5,1887,1920.5,1975,1999,1940,1955,1999,1955,2024.5,1958,2050,2029,1887,1935.5,2026,1956
"02210","Boston","MA","Boston","Suffolk",489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3550,3400,3414,3473.5,3345,3134,3300,3100,3141,3152,3261,3300,3200,3111,3299
"10006","New York","NY","New York","New York",490,,,,,,2785,2825,2792.5,2850,2780,2700,2785,2800,2845,2800,2799.5,2880,2900,2925,2900,2975,2995,3025,3072.5,3000,3060,2995,2950,2905,2975,2850,2975,2995,2995,2995,3000,3000,2992.5,3000,3000,3000,3000,2995,2950,2950,3200,3195,3200,3200,3200,3200,3145,3295,3350,3350,3352.5,3287.5,3329,3320,3352.5,3395,3400,3313,3295,3355,3427.5,3380,3345,3475,3380,3362.5,3355,3390,3345,3343,3375,3495,3500,3650,3497.5,3500,3700,3850,3600,3475,3547.5,3380,3355,3455,3276
"02109","Boston","MA","Boston","Suffolk",491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3047.5,3250,3252.5,3255,3250,3300,3250,3200,3100,3050,3260,3250,3250,3200,3265,3305,3222.5,3035,2925,2875,2850,2825,2840,2840,2895,2650,2600,2800,2600,2700,2715,2700,2740,2850,2850,2850,2760,2825,2907.5,2800,2650,2600,2850,2597.5,2850,2650,2650,2650,2690,2800,2650,2700,2850,2850,2965,2900,2700,2800,2850,2675
"10004","New York","NY","New York","New York",492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3550,3863,3575,3765.5,3550,3500,3657.5,3708.5,3797.5,3950,3550,3615,3695,3667,3892.5
"02108","Boston","MA","Boston","Suffolk",493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2497.5,2450,2600,2675,2900,2800,2900,2750,2700,2637.5,2700,2800,2800,2550
