"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"37013","Nashville","TN","Nashville","Davidson",11,117900,115990,116831,117326,114000,114900,114900,115000,114900,112500,109500,109000,104900,99900,102900,101200,99900,1e+05,99900,97000,93900,98000,90000,89990,89850,87500,89900,89945,91500,89900,92000,89500,87500,87500,89638.5,89900,89900,95000,98200,99900,98000,94900,104900,104900,107400,104900,103700,99900,99900,104900,109450,104900,108900,109988,111000,119900,119900,115990,115845,115990,116445,119944,119900,114944,114900,114999.5,116500,116000,119950,129900,119900,115400,116900,114900,129900,128700,124950,125900,140445,140950,150990,150990,152990,152700,152990,154990,159000,159900,159900,159900,165000,159951,158000,165000,167000,165000,165000,165950,165950
"60647","Chicago","IL","Chicago","Cook",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299900,299900,309000,319000,319000,334900,324900,335000,329950,326000,324950,325000,311000,279900,299900,325000,325000,324950,325000,327000,329000,324950,329900,335000,329500,355000,377000,377000,369950,350000,349000,359900,369900,364000,367500,389000,389900,394500,399450,380000,384950,388000,384750,395000,398000,377450,397000,399900,399900,399950,419450,424900,415000
"37211","Nashville","TN","Nashville","Davidson",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118000,104000,109900,119900,119900,119500,116000,104900,116500,122500,125450,134950,139900,139900,139900,143950,140900,140900,140900,140000,139900,136900,139900,145000,139900,140000,145700,149900,149000,154850,149650,140000,154900,155450,154900,160000,159950,161450,169900,166500,160000,155400,155900,159900,147839,166400,179950,187450,189900,178400,176900,189900,179900,199250,207450,199950,204900,202400,199950
"10009","New York","NY","New York","New York",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500000,1425000,1400000,1550000,1575000,1625000,1600000,1625000,1597500,1600000,1585000,1462500,1410000
"60618","Chicago","IL","Chicago","Cook",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285000,274500,259000,289000,286950,297000,284900,279500,299000,294900,289900,279900,259900,259900,292000,307450,294900,284000,274900,275000,274000,279850,289000,269900,255250,259900,259000,274900,279450,288900,299000,309900,299950,285000,289880,309900,319950,330000,320000,349900,331000,332000,319000,314950,324500,324900,309500,329450,334000,339900,375000,382450,374750
"10029","New York","NY","New York","New York",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944800,908000,988800,956650,899000,821250,891750,858725,799000,799000,810125,850000,791700,788184,760000,740000,745000,772500,775000,875000,871225,958650,990000,990000,980000,1080000,1055000,1070000,1050000,1075000,1080000,1080000,1075000,998500,986500,918000,995000,899000
"11201","New York","NY","New York","Kings",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762500,1820000,1890000,1799000,1850000,1831250,1850000,1795000,1762500,1797500,1750000,1750000,1762500,1785000,1600000,1695000,1580000,1550000,1425000,1497000,1459500,1577500,1594500,1625000,1600000,1625000,1350000
"20002","Washington","DC","Washington","District of Columbia",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399900,379873,359900,366750,374650,376825,399500,399000,381250,384900,409000,392450,437000,467325,419775,415000,432000,449450,428500,427000,427000,410000,416500,402499.5,399000,399900,408400,444900,455000,447400,421725,399999,419000,447900,449900,449900,449950
"90046","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",19,,,,,,,,,,,,,,,,,,,,,,,,,,,374950,429000,435000,426500,464000,441550,449000,477500,449000,449000,479500,454500,479000,449497.5,499000,564500,564500,599000,622500,579000,599000,579000,582000,625000,637000,598000,599000,595000,649000,649000,585000,599000,597000,616500,599000,599000,585000,617500,612000,587000,587000,592000,625650,659975,682499.5,638125,748500,674500,625000,627450,618000,609000,617475,674500,675000,644000,634000,599000,629500,662000,699000,699000,699000,634700,657000,695000,688500,649000,647000,720000,699000,715000,715000
"20009","Washington","DC","Washington","District of Columbia",20,399727.5,415000,417500,415000,420000,431000,419450,416500,399900,409900,399450,410000,399900,417000,389000,385000,389000,389000,386250,395000,399000,415000,419900,439950,436750,425000,419000,399000,389950,389900,389900,374900,384900,397000,419900,399900,399000,427500,422000,427450,469900,457000,449000,447000,439000,449900,435000,416950,399000,449000,429711,449000,434922,419000,419000,407000,423900,425000,429900,440000,432750,425000,425000,429495,449450,478999,471500,479000,489900,485000,489000,479900,460000,487450,459950,479450,467000,469900,524897.5,539450,499750,469000,455000,449000,479750,487500,518000,535000,515000,499900,499000,515000,524555,549000,499000,484076,485000,495000,526950
