"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-03-31,91185,"76011","TX","Dallas-Fort Worth","Tarrant","Arlington",3889,125044,0.00907036797934151,0.0422678435981429,0.155258271048328,0.0989193385803342,0.0383769193070829,"2018-03","2018-Q1",125044,0,"2018-03"
2018-03-31,71919,"32308","FL","Tallahassee","Leon","Tallahassee",3890,206102,0.00647045322472739,0.0205848126965263,0.0676370794374369,0.0495769779749371,-0.00119970028200178,"2006-08","2006-Q3",225045,-0.0841742762558599,"2005-08"
2018-03-31,84645,"60646","IL","Chicago","Cook","Chicago",3891,393895,0.00540357038935315,0.0172566520235633,0.0449917227327716,0.0454127306962377,-0.00384389634503723,"2006-10","2006-Q4",462256,-0.147885587207089,"2004-12"
2018-03-31,72769,"33706","FL","Tampa","Pinellas","Saint Pete Beach",3892,434448,0.00103225806451613,0.00821521067141942,0.0716368282659852,0.0796030392358469,0.00992943420160519,"2006-03","2006-Q1",547966,-0.207162488183573,"2005-02"
2018-03-31,60552,"07039","NJ","New York","Essex","Livingston",3893,599665,-0.0017329608826947,-0.00826412111229083,0.0496370602845755,0.035021254340615,0.00829588363301381,"2006-05","2006-Q2",617366,-0.0286718089431553,"2005-12"
2018-03-31,75892,"41051","KY","Cincinnati","Kenton","Independence",3894,171251,0.00390421197643404,0.0150192333908261,0.0358257524436272,0.0267054219978851,0.0114196086487364,"2018-03","2018-Q1",171251,0,"2018-03"
2018-03-31,60694,"07501","NJ","New York","Passaic","Paterson",3895,190148,0.0324591410110224,0.127437668613442,0.219608874407507,0.101652663267324,-0.0489454568769159,"2007-07","2007-Q3",331930,-0.427144277407887,"2004-01"
2018-03-31,99847,"98531","WA","Centralia","Lewis","Centralia",3896,189198,-0.00752755294204047,0.00269756053612028,0.125964102075795,0.0639220151938953,-0.00144408181247391,"2007-10","2007-Q4",196487,-0.0370966018108068,"2007-02"
2018-03-31,74659,"38122","TN","Memphis","Shelby","Memphis",3897,54381,0.00825051913378819,0.0259791713832918,0.125271587311441,0.0694648858076876,-0.0100270641690027,"2006-09","2006-Q3",69051,-0.212451666159795,"1997-10"
2018-03-31,61942,"10956","NY","New York","Rockland","Clarkstown",3898,462606,0.00577891413811996,0.010910966253144,0.0363641251506584,0.0237736889859252,-0.0116858978444829,"2006-02","2006-Q1",565117,-0.181397834430746,"2004-02"
2018-03-31,73153,"34639","FL","Tampa","Pasco","Land O Lakes",3899,243605,0.00637855747105069,0.020591562277431,0.0880663546058744,0.0880573445608686,0.0137548167564485,"2006-05","2006-Q2",272629,-0.10645969430985,"2005-07"
2018-03-31,99364,"97601","OR","Klamath Falls","Klamath","Klamath Falls",3900,140620,0.014786643670032,0.0577624660563709,0.122391967179094,0.0606213665431001,-0.00695771144738344,"2006-10","2006-Q4",162867,-0.13659611830512,"2005-12"
2018-03-31,84701,"60914","IL","Kankakee","Kankakee","Bourbonnais",3901,175178,0.00572393085353741,0.0222447860135616,0.0695998876534843,0.0196174255811579,-0.00530273889298494,"2006-02","2006-Q1",198253,-0.116391681336474,"2005-08"
2018-03-31,76490,"43054","OH","Columbus","Franklin","New Albany",3902,365516,0.000522822144665709,0.00538566060986142,0.0513514524122498,0.0563875210066691,0.0255232318684691,"2018-03","2018-Q1",365516,0,"2018-03"
2018-03-31,90792,"75240","TX","Dallas-Fort Worth","Dallas","Dallas",3903,259497,0.00661776400262228,0.0289823465034022,0.114371478631304,0.119788005105493,0.0570477528525595,"2018-03","2018-Q1",259497,0,"2018-03"
2018-03-31,58889,"02760","MA","Providence","Bristol","North Attleboro",3904,353899,0.00299283250624215,0.0148078053536353,0.0621505382798455,0.0550321716352085,0.0166947397966679,"2005-06","2005-Q2",361005,-0.019683937895597,"2005-02"
2018-03-31,99964,"98685","WA","Portland","Clark","Salmon Creek",3905,373044,0.00978537147868738,0.024939074146832,0.0883819449104452,0.0908065241636524,0.0283656297146742,"2018-03","2018-Q1",373044,0,"2018-03"
2018-03-31,95515,"88012","NM","Las Cruces","Dona Ana","Las Cruces",3906,160318,0.00632096967566584,0.0232650169461235,0.0379592761645787,0.0249302114178671,-0.00817895038992789,"2008-05","2008-Q2",175317,-0.0855535971982181,"2006-11"
2018-03-31,74617,"38053","TN","Memphis","Shelby","Millington",3907,122829,0.0101567511554846,0.0356314764382014,0.0770222280678679,0.0651771713976641,0.0163814121126418,"2018-03","2018-Q1",122829,0,"2018-03"
2018-03-31,58659,"02145","MA","Boston","Middlesex","Somerville",3908,597042,0.00316554595586382,0.0171142563152049,0.101756781694039,0.124077255201824,0.0682679046903081,"2018-03","2018-Q1",597042,0,"2018-03"
2018-03-31,65413,"18301","PA","East Stroudsburg","Monroe","East Stroudsburg",3909,144631,0.0140506355739096,0.0502349088321364,0.110700681943847,0.0193281949299169,-0.0368815920170149,"2007-08","2007-Q3",221705,-0.34764213707404,"2003-03"
2018-03-31,64749,"16823","PA","State College","Centre","Benner",3910,187864,0.00260438903594911,0.0100649490300658,0.0478745656260284,0.0251524211186616,0.017779781153485,"2018-03","2018-Q1",187864,0,"2018-03"
2018-03-31,87891,"68154","NE","Omaha","Douglas","Omaha",3911,220413,0.00875053203417833,0.0232587289870615,0.0771663009534607,0.0538123789358351,0.0287609753796569,"2018-03","2018-Q1",220413,0,"2018-03"
2018-03-31,76515,"43085","OH","Columbus","Franklin","Worthington",3912,272955,0.00734783956540352,0.0224144195436958,0.0776808275426406,0.0682984000369813,0.0365411869340906,"2018-03","2018-Q1",272955,0,"2018-03"
2018-03-31,66055,"19802","DE","Philadelphia","New Castle","Wilmington",3913,95859,-0.0224653790459097,-0.0196762218381518,0.138481454649105,0.0414397495721865,-0.0339188392279623,"2007-06","2007-Q2",144852,-0.338227984425483,"2003-09"
2018-03-31,99634,"98221","WA","Mount Vernon","Skagit","Anacortes",3914,437880,0.0100478866221939,0.0347810058559133,0.107413102415733,0.0916845416208083,0.0207298162894283,"2018-03","2018-Q1",437880,0,"2018-03"
2018-03-31,84587,"60559","IL","Chicago","Du Page","Westmont",3915,267392,0.0117103107488923,0.0311951655013633,0.0722916207166202,0.0461590553858451,-0.00381307990006907,"2007-01","2007-Q1",297249,-0.100444408559827,"2005-01"
2018-03-31,76571,"43202","OH","Columbus","Franklin","Columbus",3916,246931,-0.00293549976176825,-0.00196026126038736,0.0620733852618721,0.0882321867303857,0.0437313618109834,"2018-01","2018-Q1",248177,-0.0050206102902364,"2017-12"
2018-03-31,70979,"30241","GA","LaGrange","Troup","Lagrange",3917,90820,-0.0102009677841231,0.00101401992769597,-0.00710615502350497,0.0283282667499445,-0.0106677300930618,"2007-12","2007-Q4",101458,-0.104851268505194,"2005-03"
2018-03-31,72064,"32563","FL","Pensacola","Santa Rosa","Gulf Breeze",3918,230450,0.00630990589725115,0.0192573066308117,0.0586203253264979,0.0616731173127938,0.0144873177693507,"2005-11","2005-Q4",261929,-0.120181423210107,"2005-04"
2018-03-31,79126,"48315","MI","Detroit","Macomb","Shelby",3919,313358,0.00473900218032577,0.0152995761997952,0.0625835023160236,0.0613380472569982,0.0261216710550725,"2018-03","2018-Q1",313358,0,"2018-03"
2018-03-31,60864,"07920","NJ","New York","Somerset","Bernards",3920,625611,-0.0000431559464099048,-0.00290389571476158,0.0378830610375994,0.0259286126328175,0.00242866575522793,"2006-06","2006-Q2",650859,-0.0387918120514582,"2005-04"
2018-03-31,96280,"91030","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","South Pasadena",3921,1066443,0.010451842503212,0.0214804931337325,0.0318282574474117,0.0584920250551233,0.0426685156378284,"2018-03","2018-Q1",1066443,0,"2018-03"
2018-03-31,62661,"12553","NY","New York","Orange","New Windsor",3922,226341,0.00318674597335366,0.0270161125656232,0.110990580624261,0.0207999680726862,-0.0211575987200812,"2006-03","2006-Q1",303484,-0.254191324748586,"2003-07"
2018-03-31,95912,"89434","NV","Reno","Washoe","Sparks",3923,300525,0.0151499797324686,0.03851696218454,0.128185780410618,0.151558033058439,0.0255946403243061,"2005-10","2005-Q4",322288,-0.0675265600953185,"2005-04"
2018-03-31,66246,"20152","VA","Washington","Loudoun","Chantilly",3924,539082,-0.00124131082423039,0.0151476918789239,0.0661801352794589,0.0267805434387756,0.0145764727449671,"2005-10","2005-Q4",614009,-0.122029155924425,"2004-12"
2018-03-31,91268,"76123","TX","Dallas-Fort Worth","Tarrant","Fort Worth",3925,187672,0.0101732137666728,0.0335556424476399,0.119574295463765,0.0952839427541241,0.0305048262674372,"2018-03","2018-Q1",187672,0,"2018-03"
2018-03-31,72686,"33570","FL","Tampa","Hillsborough","Ruskin",3926,198340,0.0035417931592795,0.0187843828171951,0.0707306276250013,0.0837492884918771,0.0112052243857741,"2006-07","2006-Q3",262501,-0.24442192601171,"2005-07"
2018-03-31,91304,"76201","TX","Dallas-Fort Worth","Denton","Denton",3927,168070,0.0142601097117201,0.0380265945291607,0.0808360128617363,0.108129540459615,0.05315258290353,"2018-03","2018-Q1",168070,0,"2018-03"
2018-03-31,94598,"84601","UT","Provo","Utah","Provo",3928,249257,0.00632645645766886,0.0302856198073823,0.129039856139222,0.094189816031858,0.0244652265421708,"2018-03","2018-Q1",249257,0,"2018-03"
2018-03-31,79538,"49048","MI","Kalamazoo","Kalamazoo","Comstock",3929,87240,-0.00130503468644825,-0.00241277972807629,0.100084486085016,0.0513193176501936,0.00173818958036431,"2006-05","2006-Q2",94746,-0.0792223418402888,"2003-09"
2018-03-31,92047,"77586","TX","Houston","Harris","Seabrook",3930,251358,0.00685771051809362,0.0176602050235631,0.056458968162236,0.0710536491160079,0.0301405114270206,"2018-03","2018-Q1",251358,0,"2018-03"
2018-03-31,97811,"94609","CA","San Francisco","Alameda","Oakland",3931,1049360,0.0107931859886048,0.0468078823827509,0.150083130484721,0.150476437643044,0.0721211398947865,"2018-03","2018-Q1",1049360,0,"2018-03"
2018-03-31,97487,"93933","CA","Salinas","Monterey","Marina",3932,540737,0.00223713231887013,0.0100399355949806,0.0867927637859685,0.0996779926373823,0.019301475240715,"2005-09","2005-Q3",717260,-0.246107408749965,"2004-07"
2018-03-31,96680,"92139","CA","San Diego","San Diego","San Diego",3933,445734,0.00431708493121054,0.0173462913172682,0.0770007683646398,0.0926503939543339,0.0202114419162829,"2005-08","2005-Q3",454494,-0.019274181837384,"2005-03"
2018-03-31,65730,"19053","PA","Philadelphia","Bucks","Lower Southampton",3934,288195,0.000697931206900144,0.00967298920240756,0.0620354435604232,0.0360872088292989,0.00217894295697318,"2006-02","2006-Q1",293003,-0.0164093882997785,"2005-10"
2018-03-31,63638,"14617","NY","Rochester","Monroe","Irondequoit",3935,131425,-0.0101750316322227,-0.03393094728795,0.016804252125676,0.0249162803716165,0.0127166322751546,"2017-10","2017-Q4",138863,-0.0535635842521046,"2017-08"
2018-03-31,97752,"94545","CA","San Francisco","Alameda","Hayward",3936,677654,0.00921265049116265,0.0414534925716288,0.144885005330319,0.141238276542047,0.0374215913129994,"2018-03","2018-Q1",677654,0,"2018-03"
2018-03-31,64743,"16803","PA","State College","Centre","Park Forest Village",3937,282700,0.0051126707482703,0.0112934324951796,0.0611144892612361,0.0415346356567561,0.0174974206610239,"2018-03","2018-Q1",282700,0,"2018-03"
