"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","18042","PA","""Allentown-Bethlehem-Easton, PA-NJ""",3501,67,12.7659574468085,96,4.41176470588235,6.34078212290503
"Zip","18017","PA","""Allentown-Bethlehem-Easton, PA-NJ""",3579,67,19.3548387096774,85,7.64705882352941,6.34078212290503
"Zip","18018","PA","""Allentown-Bethlehem-Easton, PA-NJ""",4200,67,12.3893805309735,81,1.17647058823529,6.34078212290503
"Zip","07840","NJ","""Allentown-Bethlehem-Easton, PA-NJ""",5180,67,13.1818181818182,114,8.23529411764706,6.34078212290503
"Zip","08865","NJ","""Allentown-Bethlehem-Easton, PA-NJ""",5279,67,19.047619047619,124,10,6.34078212290503
"Zip","18015","PA","""Allentown-Bethlehem-Easton, PA-NJ""",5469,67,10.2189781021898,100,3.23529411764706,6.34078212290503
"Zip","18052","PA","""Allentown-Bethlehem-Easton, PA-NJ""",5565,67,9.57446808510638,79,0.588235294117647,6.34078212290503
"Zip","18045","PA","""Allentown-Bethlehem-Easton, PA-NJ""",5711,67,13.7404580152672,89,5.29411764705882,6.34078212290503
"Zip","18064","PA","""Allentown-Bethlehem-Easton, PA-NJ""",6640,67,14.6788990825688,99,8.52941176470588,6.34078212290503
"Zip","18062","PA","""Allentown-Bethlehem-Easton, PA-NJ""",6670,67,13.6842105263158,79,2.64705882352941,6.34078212290503
"Zip","18067","PA","""Allentown-Bethlehem-Easton, PA-NJ""",7628,67,13.2530120481928,85,4.70588235294118,6.34078212290503
"Zip","18235","PA","""Allentown-Bethlehem-Easton, PA-NJ""",7741,67,12.9032258064516,107,6.76470588235294,6.34078212290503
"Zip","18049","PA","""Allentown-Bethlehem-Easton, PA-NJ""",7846,67,13.2075471698113,83,3.82352941176471,6.34078212290503
"Zip","18020","PA","""Allentown-Bethlehem-Easton, PA-NJ""",7879,67,16.8316831683168,88,7.05882352941176,6.34078212290503
"Zip","18109","PA","""Allentown-Bethlehem-Easton, PA-NJ""",8099,67,11.1111111111111,73,0.882352941176471,6.34078212290503
"Zip","18013","PA","""Allentown-Bethlehem-Easton, PA-NJ""",8196,67,13.8613861386139,115,9.70588235294118,6.34078212290503
"Zip","18040","PA","""Allentown-Bethlehem-Easton, PA-NJ""",8674,67,10.8527131782946,101,4.11764705882353,6.34078212290503
"Zip","07882","NJ","""Allentown-Bethlehem-Easton, PA-NJ""",8920,67,12.9770992366412,135,9.11764705882353,6.34078212290503
"Zip","18036","PA","""Allentown-Bethlehem-Easton, PA-NJ""",9252,67,12.1951219512195,97,3.52941176470588,6.34078212290503
"Zip","18055","PA","""Allentown-Bethlehem-Easton, PA-NJ""",9368,67,8.53658536585366,91,1.76470588235294,6.34078212290503
"Zip","18080","PA","""Allentown-Bethlehem-Easton, PA-NJ""",9543,67,7.5,100,2.35294117647059,6.34078212290503
"Zip","18071","PA","""Allentown-Bethlehem-Easton, PA-NJ""",9646,67,14.6341463414634,101,9.41176470588235,6.34078212290503
"Zip","18229","PA","""Allentown-Bethlehem-Easton, PA-NJ""",9905,67,12.6582278481013,119.5,7.35294117647059,6.34078212290503
"Zip","18032","PA","""Allentown-Bethlehem-Easton, PA-NJ""",10010,67,8.10810810810811,77,0.294117647058824,6.34078212290503
"Zip","18210","PA","""Allentown-Bethlehem-Easton, PA-NJ""",10131,67,12.6829268292683,148.5,8.82352941176471,6.34078212290503
