Survey,State,6-Digit,County,Place,MSA/,PMSA,Ccity,Zip,Region,Division,Source,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units
Date,Code,ID,Code,Code,Cmsa,Code,Code,Code,Code,,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200001,09,513000,015,    ,9999,9999, ,06260      ,1,1,1,,Putnam town,2,2,194130,0,0,0,0,0,0,0,0,0
200001,09,517000,001,    ,5602,1930, ,06875      ,1,1,1,,Redding town,3,3,925000,0,0,0,0,0,0,0,0,0
200001,09,521000,001,    ,5602,1930, ,06877      ,1,1,1,,Ridgefield town,6,6,1866000,0,0,0,0,0,0,0,0,0
200001,09,525000,003,    ,3280,9999, ,06067      ,1,1,1,,Rocky Hill town,3,3,415000,0,0,0,0,0,0,0,0,0
200001,09,529000,005,    ,5602,1930, ,06783      ,1,1,1,,Roxbury town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,533000,011,    ,5520,9999, ,064203809  ,1,1,1,,Salem town,1,1,112000,0,0,0,0,0,0,0,0,0
200001,09,537000,005,    ,9999,9999, ,06068      ,1,1,1,,Salisbury town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,541000,015,    ,9999,9999, ,06264      ,1,1,1,,Scotland town,2,2,185000,0,0,0,0,0,0,0,0,0
200001,09,545000,009,    ,5602,1160, ,06483      ,1,1,1,,Seymour town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,549000,005,    ,9999,9999, ,06069      ,1,1,1,,Sharon town,1,1,269000,0,0,0,0,0,0,0,0,0
200001,09,553000,001,2030,5602,1160, ,06484      ,1,1,1,,Shelton,5,5,497040,0,0,0,0,0,0,0,0,0
200001,09,557000,001,    ,5602,1930, ,06784      ,1,1,1,,Sherman town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,561000,003,    ,3280,9999, ,06070      ,1,1,1,,Simsbury town,1,1,172000,0,0,0,0,0,0,0,0,0
200001,09,565000,013,    ,3280,9999, ,06071      ,1,1,5,,Somers town,2,2,320060,0,0,0,0,0,0,0,0,0
200001,09,569000,003,    ,3280,9999, ,06074      ,1,1,1,,South Windsor town,2,2,367500,0,0,0,0,0,0,0,0,0
200001,09,573000,009,    ,5602,8880, ,06488      ,1,1,1,,Southbury town,2,2,242315,0,0,0,0,0,0,0,0,0
200001,09,577000,003,    ,3280,9999, ,06489      ,1,1,1,,Southington town,14,14,949000,0,0,0,0,0,0,0,0,0
200001,09,581000,011,    ,5520,9999, ,06330      ,1,1,1,,Sprague town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,589000,013,    ,3280,9999, ,06076      ,1,1,1,,Stafford town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,593000,001,2180,5602,8040,1,06901      ,1,1,1,,Stamford,1,1,210000,0,0,0,0,0,0,1,306,45000000
200001,09,597000,015,    ,9999,9999, ,06373      ,1,1,1,,Sterling town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,601000,011,2210,9999,9999, ,06378      ,1,1,1,,Stonington borough,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,605000,011,    ,5520,9999, ,06378      ,1,1,1,,Stonington town,7,7,1279000,0,0,0,0,0,0,0,0,0
200001,09,609000,001,    ,5602,1160, ,06497      ,1,1,1,,Stratford town,1,1,78000,0,0,0,0,0,0,0,0,0
200001,09,613000,003,    ,3280,9999, ,06078      ,1,1,1,,Suffield town,1,1,156200,0,0,0,0,0,0,0,0,0
200001,09,617000,005,    ,5602,8880, ,06787      ,1,1,1,,Thomaston town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,621000,015,    ,1122,9240, ,06255      ,1,1,1,,Thompson town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,625000,013,    ,3280,9999, ,06084      ,1,1,1,,Tolland town,8,8,1271000,0,0,0,0,0,0,0,0,0
200001,09,629000,005,2330,9999,9999, ,06790      ,1,1,1,,Torrington,1,1,187000,0,0,0,0,0,0,0,0,0
200001,09,637000,001,    ,5602,1160, ,06611      ,1,1,1,,Trumbull town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,641000,013,    ,9999,9999, ,06076      ,1,1,5,,Union town,1,1,114125,0,0,0,0,0,0,0,0,0
200001,09,645000,013,    ,3280,9999, ,06066      ,1,1,1,,Vernon town,4,4,422000,0,0,0,0,0,0,0,0,0
200001,09,649000,011,    ,9999,9999, ,06384      ,1,1,1,,Voluntown town,1,1,78000,0,0,0,0,0,0,0,0,0
200001,09,653000,009,    ,5602,5480, ,06492      ,1,1,1,,Wallingford town,11,11,1704170,0,0,0,0,0,0,0,0,0
200001,09,657000,005,    ,9999,9999, ,06069      ,1,1,5,,Warren town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,661000,005,    ,5602,1930, ,06069      ,1,1,5,,Washington town,1,1,216763,0,0,0,0,0,0,0,0,0
200001,09,665000,009,2460,5602,8880,1,06702      ,1,1,1,,Waterbury,2,2,100000,0,0,0,0,0,0,0,0,0
200001,09,669000,011,    ,5520,9999, ,06385      ,1,1,1,,Waterford town,3,3,530400,0,0,0,0,0,0,0,0,0
200001,09,673000,005,    ,5602,8880, ,06795      ,1,1,1,,Watertown town,5,5,547733,0,0,0,0,0,0,0,0,0
200001,09,677000,003,    ,3280,9999, ,06107      ,1,1,1,,West Hartford town,1,1,250000,0,0,0,0,0,0,0,0,0
200001,09,681000,009,2535,5602,5480, ,06516      ,1,1,5,,West Haven,3,3,145959,0,0,0,0,0,0,0,0,0
200001,09,685000,007,    ,9999,9999, ,06498      ,1,1,5,,Westbrook town,2,2,222025,0,0,0,0,0,0,0,0,0
200001,09,689000,001,    ,5602,8040, ,06883      ,1,1,5,,Weston town,1,1,448048,0,0,0,0,0,0,0,0,0
200001,09,693000,001,    ,5602,8040, ,06880      ,1,1,5,,Westport town,3,3,1298637,0,0,0,0,0,0,0,0,0
200001,09,697000,003,    ,3280,9999, ,06109      ,1,1,1,,Wethersfield town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,701000,013,    ,3280,9999, ,06279      ,1,1,1,,Willington town,2,2,405400,0,0,0,0,0,0,0,0,0
200001,09,705000,001,    ,5602,8040, ,06897      ,1,1,1,,Wilton town,4,4,819860,0,0,0,0,0,0,0,0,0
200001,09,709000,005,    ,3280,9999, ,06098      ,1,1,1,,Winchester town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,713000,015,    ,3280,9999, ,062260001  ,1,1,5,,Windham town,2,2,129609,0,0,0,0,0,0,0,0,0
200001,09,717000,003,    ,3280,9999, ,06096      ,1,1,1,,Windsor Locks town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,721000,003,    ,3280,9999, ,06095      ,1,1,5,,Windsor town,2,2,279633,0,0,0,0,0,0,0,0,0
200001,09,725000,009,    ,5602,8880, ,06716      ,1,1,1,,Wolcott town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,729000,009,    ,5602,5480, ,06525      ,1,1,5,,Woodbridge town,2,2,417917,0,0,0,0,0,0,0,0,0
200001,09,733000,005,    ,5602,8880, ,06798      ,1,1,1,,Woodbury town,0,0,0,0,0,0,0,0,0,0,0,0
200001,09,741000,015,    ,9999,9999, ,06281      ,1,1,1,,Woodstock town,3,3,488280,0,0,0,0,0,0,0,0,0
200001,23,002000,031,    ,9999,9999, ,04001      ,1,1,1,,Acton town,0,0,0,0,0,0,0,0,0,0,0,0
200001,23,017000,023,    ,9999,9999, ,045309400  ,1,1,5,,Arrowsic town,0,0,0,0,0,0,0,0,0,0,0,0
200001,23,018000,031,    ,9999,9999, ,04046      ,1,1,5,,Arundel town,0,0,0,0,0,0,0,0,0,0,0,0
200001,23,021000,021,    ,9999,9999, ,04426      ,1,1,1,,Atkinson town,0,0,0,0,0,0,0,0,0,0,0,0
200001,23,022000,001,0200,4240,9999,1,04210      ,1,1,1,,Auburn,1,1,100000,0,0,0,0,0,0,0,0,0
200001,23,023000,011,0210,9999,9999, ,04330      ,1,1,1,,Augusta,0,0,0,0,0,0,0,0,0,0,0,0
200001,23,029000,019,0270,0730,9999,1,04401      ,1,1,1,,Bangor,0,0,0,0,0,0,0,0,0,0,0,0
200001,23,030000,009,    ,9999,9999, ,04609      ,1,1,1,,Bar Harbor town,4,4,635000,0,0,0,0,0,0,0,0,0
200001,23,032000,023,0300,9999,9999, ,04530      ,1,1,5,,Bath,1,1,108071,0,0,0,0,0,0,0,0,0
200001,23,036000,027,0330,9999,9999, ,04915      ,1,1,5,,Belfast,0,0,0,0,0,0,0,0,0,0,0,0
200001,23,037000,011,    ,9999,9999, ,04917      ,1,1,1,,Belgrade town,0,0,0,0,0,0,0,0,0,0,0,0
200001,23,039000,011,    ,9999,9999, ,04901      ,1,1,1,,Benton town,0,0,0,0,0,0,0,0,0,0,0,0
200001,23,040000,031,    ,1122,6450, ,03901      ,1,1,1,,Berwick town,1,1,122860,0,0,0,0,0,0,0,0,0
200001,23,041000,017,    ,9999,9999, ,04217      ,1,1,5,,Bethel town,1,1,101711,0,0,0,0,0,0,0,0,0
200001,23,042000,031,0420,9999,9999, ,040050586  ,1,1,1,,Biddeford,1,1,60000,0,0,0,0,0,0,0,0,0
200001,23,046000,015,    ,9999,9999, ,045381010  ,1,1,5,,Boothbay Harbor town,0,0,0,0,0,0,0,0,0,1,6,562500
200001,23,047000,015,    ,9999,9999, ,04537      ,1,1,5,,Boothbay town,1,1,136018,0,0,0,0,0,0,0,0,0
200001,23,049000,023,    ,9999,9999, ,04008      ,1,1,5,,Bowdoinham town,0,0,0,0,0,0,0,0,0,0,0,0
200001,23,054000,019,0560,0730,9999, ,04412      ,1,1,1,,Brewer,4,4,200000,0,0,0,0,0,0,0,0,0
