c_id,zri_allhomes,zripersqft_allhomes,year,rv_id
45,1186,0.741,2014,540
45,1186,0.741833333,2015,541
45,1196,0.757,2016,542
45,1222,0.77,2017,543
46,1272,0.680666667,2017,544
46,1272,1.069833333,2017,545
46,1272,0.806166667,2017,546
46,1272,0.794166667,2017,547
46,1199,0.629,2010,548
46,1199,0.667,2010,549
46,1199,0.748,2010,550
46,1199,0.64,2010,551
46,1199,0.618,2010,552
46,1189,0.624833333,2011,553
46,1189,0.666666667,2011,554
46,1189,0.6585,2011,555
46,1189,0.738,2011,556
46,1189,0.760833333,2011,557
46,1159,0.666833333,2012,558
46,1159,0.567833333,2012,559
46,1159,0.638666667,2012,560
46,1159,0.811166667,2012,561
46,1159,0.7215,2012,562
46,1168,0.625666667,2013,563
46,1168,0.606166667,2013,564
46,1168,0.5845,2013,565
46,1168,0.72,2013,566
46,1168,0.850666667,2013,567
46,1182,0.62,2014,568
46,1182,0.88,2014,569
46,1182,0.5955,2014,570
46,1182,0.728333333,2014,571
46,1182,0.639166667,2014,572
46,1209,0.954,2015,573
46,1209,0.7205,2015,574
46,1209,0.5965,2015,575
46,1209,0.747,2015,576
46,1209,0.656,2015,577
46,1239,0.768,2016,578
46,1239,1.028833333,2016,579
46,1239,0.748166667,2016,580
46,1239,0.680166667,2016,581
46,1239,0.5985,2016,582
46,1272,0.596333333,2017,583
47,902,0.681166667,2016,584
47,902,0.653333333,2016,585
47,913,0.6505,2017,586
47,913,0.699666667,2017,587
47,803,0.592,2010,588
47,803,0.641,2010,589
47,833,0.6,2011,590
47,833,0.631833333,2011,591
47,835,0.6105,2012,592
47,835,0.608,2012,593
47,840,0.620666667,2013,594
47,840,0.622333333,2013,595
47,855,0.621333333,2014,596
47,855,0.632833333,2014,597
47,892,0.650666667,2015,598
47,892,0.666,2015,599
48,1292,1.094,2010,600
48,1357,1.121166667,2011,601
48,1388,1.141833333,2012,602
48,1412,1.180333333,2013,603
48,1446,1.207333333,2014,604
48,1473,1.2145,2015,605
48,1497,1.237833333,2016,606
48,1552,1.2805,2017,607
49,2177,1.31,2010,608
49,2167,1.345833333,2011,609
49,2169,1.323166667,2012,610
49,2229,1.3365,2013,611
49,2338,1.423333333,2014,612
49,2484,1.514833333,2015,613
49,2470,1.538833333,2016,614
49,2469,1.530333333,2017,615
50,1050,0.771333333,2012,616
50,1139,0.819833333,2013,617
50,1102,0.811,2014,618
50,1150,0.834333333,2015,619
50,1168,0.856833333,2016,620
50,1204,0.898833333,2017,621
51,1352,0.918,2010,622
51,1340,0.908,2011,623
51,1354,0.9165,2012,624
51,1370,0.923166667,2013,625
51,1384,0.946333333,2014,626
51,1428,0.9725,2015,627
51,1470,0.978666667,2016,628
51,1480,0.981666667,2017,629
52,1078,0.811,2010,630
52,985,0.777166667,2011,631
52,987,0.773166667,2012,632
52,1065,0.826666667,2013,633
52,1131,0.858166667,2014,634
52,1158,0.874333333,2015,635
52,1181,0.886666667,2016,636
52,1173,0.874,2017,637
53,1381,0.99,2010,638
53,1498,1.052,2011,639
53,1379,0.977333333,2012,640
53,1209,0.816166667,2013,641
53,1350,0.928166667,2014,642
53,1470,0.959166667,2015,643
53,1509,0.998666667,2016,644
53,1644,1.077166667,2017,645
54,1437,0.77,2010,646
54,1437,0.939,2010,647
54,1437,1.092,2010,648
54,1390,1.0815,2011,649
54,1390,0.7855,2011,650
54,1390,0.962833333,2011,651
54,1462,1.131,2012,652
54,1462,0.987,2012,653
54,1462,0.779833333,2012,654
54,1446,0.734333333,2013,655
54,1446,0.776666667,2013,656
54,1446,1.127333333,2013,657
54,1446,0.993833333,2013,658
54,1482,1.151166667,2014,659
54,1482,0.7825,2014,660
54,1482,0.786666667,2014,661
54,1482,0.981166667,2014,662
54,1503,1.001333333,2015,663
54,1503,0.8105,2015,664
54,1503,1.185666667,2015,665
54,1503,0.8155,2015,666
54,1582,1.2385,2016,667
54,1582,0.825833333,2016,668
